,site_code,Taxon,mean.after.control.0,mean.after.drought.0,mean.before.control.0,mean.before.drought.0,drought.after.before,control.after.before,cover.change
147,bayrdrt.de,FESTUCA RUBRA,37,14,0,0,14,37,-23
148,bayrdrt.de,HIERACIUM PILOSELLA,0,30,0,0,30,0,30
149,bayrdrt.de,HYPOCHAERIS RADICATA,0.1,3,0,0,3,0.1,2.9
150,bayrdrt.de,LOLIUM PERENNE,0.1,0,0,0,0,0.1,-0.1
151,bayrdrt.de,LUZULA CAMPESTRIS,0.1,2,0,0,2,0.1,1.9
152,bayrdrt.de,PHLEUM PRATENSE,5,7.666666667,0,0,7.666666667,5,2.666666667
153,bayrdrt.de,PILOSELLA AURANTIACA,0,4,0,0,4,0,4
154,bayrdrt.de,PILOSELLA PILOSELLOIDES,1.5,25.05,0,0,25.05,1.5,23.55
155,bayrdrt.de,POA PRATENSIS,8.333333333,6.6,0,0,6.6,8.333333333,-1.733333333
156,bayrdrt.de,PRUNELLA VULGARIS,0,0.1,0,0,0.1,0,0.1
157,bayrdrt.de,QUERCUS ROBUR,0.1,0,0,0,0,0.1,-0.1
158,bayrdrt.de,RANUNCULUS ACRIS,3.8,3,0,0,3,3.8,-0.8
159,bayrdrt.de,RHINANTHUS MINOR,0.1,2,0,0,2,0.1,1.9
160,bayrdrt.de,SCORZONEROIDES AUTUMNALIS,1,0.1,0,0,0.1,1,-0.9
161,bayrdrt.de,TARAXACUM TARAXACUM,5.333333333,3,0,0,3,5.333333333,-2.333333333
162,bayrdrt.de,TRIFOLIUM REPENS,5,2,0,0,2,5,-3
163,bayrdrt.de,VERONICA ARVENSIS,5,0,0,0,0,5,-5
164,bayrdrt.de,VERONICA SERPYLLIFOLIA,0.1,0,0,0,0,0.1,-0.1
165,bayrdrt.de,VICIA ARTICULATA,0.1,0.1,0,0,0.1,0.1,0
166,bayrdrt.de,VICIA CRACCA,3,1.55,0,0,1.55,3,-1.45
167,bayrdrt.de,VICIA SEPIUM,1,18.36666667,0,0,18.36666667,1,17.36666667
168,bfl.us,AMBROSIA PSILOSTACHYA,8,0,0,0,0,8,-8
169,bfl.us,ANDROPOGON GLOMERATUS,15.5,11.5,0,0,11.5,15.5,-4
170,bfl.us,CROTON GLANDULOSUS,1,0,0,0,0,1,-1
171,bfl.us,CROTON LINDHEIMERIANUS,1,1,0,0,1,1,0
172,bfl.us,DESMANTHUS ACUMINATUS,6,11.5,0,0,11.5,6,5.5
173,bfl.us,DICHANTHELIUM OLIGOSANTHES,10.66666667,32,0,0,32,10.66666667,21.33333333
174,bfl.us,EVOLVULUS SERICEUS,1,1.333333333,0,0,1.333333333,1,0.333333333
175,bfl.us,GALACTIA MARGINALIS,0,7,0,0,7,0,7
176,bfl.us,HEDEOMA ACINOIDES,1,1,0,0,1,1,0
177,bfl.us,HELENIUM AMARUM,0,2,0,0,2,0,2
