"","site_code","Taxon","mean.before.control.0","mean.before.drought.0","mean.after.control.0","mean.after.drought.0","drought.after.before","control.after.before","cover.change"
"150","cdpt_drt.us","GAURA COCCINEA",0.1,0.5,2,1,0.5,1.9,-1.4
"151","cdpt_drt.us","HESPEROSTIPA COMATA",13.6666666666667,10.8333333333333,10.1666666666667,15.5,4.66666666666667,-3.5,8.16666666666667
"152","cdpt_drt.us","HETEROTHECA VILLOSA",0,0.3,0,0.55,0.25,0,0.25
"153","cdpt_drt.us","KOELERIA MACRANTHA",0,14,10,12,-2,10,-12
"154","cdpt_drt.us","LIATRIS PUNCTATA",0.5,0.5,0.5,1,0.5,0,0.5
"155","cdpt_drt.us","LITHOSPERMUM INCISUM",1.75,1.91666666666667,2.75,2.16666666666667,0.25,1,-0.75
"156","cdpt_drt.us","LYGODESMIA JUNCEA",1,0.5,1.2,0.55,0.05,0.2,-0.15
"157","cdpt_drt.us","MACHAERANTHERA PINNATIFIDA",0.5,0.5,0.3,0.1,-0.4,-0.2,-0.2
"158","cdpt_drt.us","POLYGALA ALBA",0.5,1,0,2,1,-0.5,1.5
"159","cdpt_drt.us","PSORALIDIUM TENUIFLORUM",0.3,10.2,1.66666666666667,6.36666666666667,-3.83333333333333,1.36666666666667,-5.2
"160","cdpt_drt.us","SPHAERALCEA COCCINEA",0.666666666666667,0.9,1,1.9,1,0.333333333333333,0.666666666666667
"161","cdpt_drt.us","SPOROBOLUS CRYPTANDRUS",7,1,3,1.125,0.125,-4,4.125
"162","cdpt_drt.us","TRADESCANTIA OCCIDENTALIS",0.5,0,1,0,0,0.5,-0.5
"163","cdpt_drt.us","TRAGOPOGON DUBIUS",0.5,0,0,0.1,0.1,-0.5,0.6
"164","cdpt_drt.us","VERBENA STRICTA",0,0.1,0,0.1,0,0,0
"165","cedarsav.us","AMORPHA CANESCENS",9.5,9.33333333333333,2.33333333333333,6.75,-2.58333333333333,-7.16666666666667,4.58333333333333
"166","cedarsav.us","AMPHICARPAEA BRACTEATA",3,0,1,0,0,-2,2
"167","cedarsav.us","ANDROPOGON GERARDII",7.66666666666667,9.75,17.1428571428571,8.8,-0.949999999999999,9.47619047619047,-10.4261904761905
"168","cedarsav.us","ARTEMISIA LUDOVICIANA",1.6,3,1,1,-2,-0.6,-1.4
"169","cedarsav.us","COMANDRA UMBELLATA",1.6,2,9.66666666666667,6.66666666666667,4.66666666666667,8.06666666666667,-3.4
"170","cedarsav.us","COREOPSIS PALMATA",11,6,27.5,6.66666666666667,0.666666666666666,16.5,-15.8333333333333
"171","cedarsav.us","EUTHAMIA GRAMINIFOLIA",5.5,8,4.33333333333333,4,-4,-1.16666666666667,-2.83333333333333
"172","cedarsav.us","HELIANTHEMUM BICKNELLII",0,1,0,4,3,0,3
"173","cedarsav.us","LATHYRUS VENOSUS",4.9,4.75,5,4.5,-0.25,0.0999999999999996,-0.35
"174","cedarsav.us","LITHOSPERMUM CANESCENS",2.5,0,3,4.33333333333333,4.33333333333333,0.5,3.83333333333333
"175","cedarsav.us","MUHLENBERGIA RACEMOSA",5.2,0,5,0,0,-0.2,0.2
"176","cedarsav.us","PANICUM ACUMINATUM",3.2,2,3,4,2,-0.2,2.2
