Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2/kg,root.depth_m,RTD.g.cm3,SRL_m/g,rootDiam.mm,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,,,,
BROMUS ERECTUS,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,"RootC and N, depth, RTD, SRL, Diam, from groot",,"Allmend Brachy, Allmend Ovina",Poaceae,GRASS,PERENNIAL,GRASS,,,,
BROMUS HORDEACEUS,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,RTD and SRL from Groot,,"Bad Drought, Jena, SantaCruzHigh, SantaCruzLow",Poaceae,GRASS,ANNUAL,GRASS,,,,
BROMUS INERMIS,21.49936399,0.81,17.20145333,17.7899321,0.3048,0.268601793,108.7724975,0.281416667,"RootC and N, RTD, SRL, Diam, from groot",,"Brookdale, Cedar Creek Trait ",Poaceae,GRASS,PERENNIAL,GRASS,,,,
BROMUS JAPONICUS,20.898,0.424044444,,19.31803729,1.5,,,0.54,"depth from groot, leaf N and rdiam from Julie Larson",,"Cedar Point - Drought-Net, ORE IDE AA, ORE IDE AC",Poaceae,GRASS,ANNUAL,GRASS,,,,
BROMUS RUBENS,28.7686987,0.39624,,18.713372,0.2032,,,,,,"Cap Mcdowell, Gmdrc Granitecove, Gmdrc Molar Junction, NNSS_Mojave",Poaceae,GRASS,ANNUAL,GRASS,,,,
BROMUS SETIFOLIUS,20,0.102,,20.31,,,,,,,Potrok Aike Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,"leafN from Vergutz, L., S. Manzoni, A. Porporato, R.F. Novais, and R.B. Jackson. 2012. A Global Database of Carbon and Nutrient Concentrations of Green and Senesced Leaves. Data set. Available on-line [http://daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A. http://dx.doi.org/10.3334/ORNLDAAC/1106",
BROMUS STERILIS,27.9,0.658333333,,30.5349098,1.5,,455.9545455,,depth from groot,,"Bad Drought, Cowichan Drt",Poaceae,GRASS,ANNUAL,GRASS,,,,
BROMUS TECTORUM,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"RootC and N, depth RTD from groot, Rdiam from Julie Larson",,"Cowichan Drt, Hardware Ranch, NNSS_Mojave, North Platte, OCTC_GreatBasin, ORE IDE AC",Poaceae,GRASS,ANNUAL,GRASS,,,,
BUCHLOE DACTYLOIDES,24.2054525,0.057,15.93328833,22.1,1.8542,,110.5,,"RootN, depth, SRL from groot",,"Cedar Point - Drought-Net, Konza Drt",Poaceae,GRASS,BIENNIAL,GRASS,,,"leafN, SLA from Carmona et al. 2021 Sci Adv",
BUGLOSSOIDES ARVENSIS,38,0.2183,,17.93814433,,,,,,,Kiskunsag,Boraginaceae,FORB,ANNUAL,FORB,,,,
CALADENIA CARNEA,,0.135,,20.36104461,,,,,,,Jilpanger,Orchidaceae,FORB,PERENNIAL,FORB,,,,
CALADENIA TENTACULATA,,0.15,,,,,,,,,Jilpanger,Orchidaceae,FORB,PERENNIAL,FORB,,,,
CALAMAGROSTIS EPIGEIOS,17.43326,1.396,6.6,18.65,,,57.46375,,"RootN, SRL from groot",,Teshio Experimental Grassland,Poaceae,GRASS,PERENNIAL,GRASS,,,,
CALAMOVILFA LONGIFOLIA,13.59,0.968,5.2246,10.96892152,0.508,0.18,33,0.48,"RootN, Diam, RTD, SRL from groot",,"Biddulph, Cedar Creek Savanna",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
CALANDRINIA BALONENSIS,,0.275,,7.11,,,,,,,"Ethabuka_DNB, Ethabuka_DNU",Montiaceae,FORB,ANNUAL,FORB,,,SLA from Carmona et al. 2021 Sci Adv.,
CALCEOLARIA UNIFLORA,,,,,,,,,,,Potrok Aike Drt,Calceolariaceae,FORB,PERENNIAL,FORB,,,,
CALLUNA VULGARIS,13.57486595,0.555785714,4.11401,14.28693018,0.3,1.194550386,13.62532988,0.2553,"RootC, depth, RTD, SRL, diam from groot",,"HOIDE, HYIDE, Lygra_intermediate, Lygra_old",Ericaceae,"SHRUB, subshrub (Lygra_intermediate, Lygra_old)",PERENNIAL,WOODY,,,,
CALOTIS HISPIDULA,,0.103333333,,11.56636819,,,,,,,"CredoJ, CredoM, Quilpie",Compositae,FORB,ANNUAL,FORB,,,,
CALOTIS LAPPULACEA,,0.5,,15.76,,,,,,,Cobar,Compositae,FORB,NULL,FORB,,,,
CALYLOPHUS SERRULATUS,23.21,,,11.69,1.33,,,,,,Oklahoma (KAEFS-OK),Onagraceae,FORB,PERENNIAL,FORB,,,leafN from Carmona et al. 2021 Sci Adv,
CALYTRIX TETRAGONA,9.5,2.5,,2.466205,,,,,,,Jilpanger,Myrtaceae,SHRUB,PERENNIAL,WOODY,,,,
CAMASSIA QUAMASH,,0.70104,,12.08,0.254,,,,,,Cowichan Drt,Hyacinthaceae,GRASS,PERENNIAL,FORB,,,,
CAMISSONIA PALMERI,,,,,,,,,,,Gmdrc Molar Junction,Onagraceae,FORB,ANNUAL,FORB,,,,
CAMPANULA PATULA,27.77811089,0.4375,14.26593954,33.98333333,0.29,0.0375,929.9184754,0.265133333,"rootC and N, RTD, SRL, diam from groot",,EE Elva,Campanulaceae,FORB,PERENNIAL,FORB,,,leafN from Carmona et al. 2021 Sci Adv.,
CAMPANULA ROTUNDIFOLIA,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,"rootC and N, RTD, SRL, diam from groot",,"Biddulph, Brookdale, Cedar Creek Savanna, Kernen_burned, Kernen_unburned, Konza Drt",Campanulaceae,FORB,PERENNIAL,FORB,,,,
CARDIONEMA RAMOSISSIMUM,,,,,,,,,,,San Pablo Valdes Drt,Caryophyllaceae,FORB,PERENNIAL,FORB,,,,
CARDUUS PYCNOCEPHALUS,8.2,0.8,,38,,,,,"LA, thick from Justin",,"SantaCruzHigh, SantaCruzLow, SantaCruzMiddle",Compositae,FORB,ANNUAL,FORB,,,,
CAREX ANDINA,16.8,0.04,,,,,,,,,Potrok Aike Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,"leafN from Vergutz, L., S. Manzoni, A. Porporato, R.F. Novais, and R.B. Jackson. 2012. A Global Database of Carbon and Nutrient Concentrations of Green and Senesced Leaves. Data set. Available on-line [http://daac.ornl.gov] from Oak Ridge National Laboratory Distributed Active Archive Center, Oak Ridge, Tennessee, U.S.A. http://dx.doi.org/10.3334/ORNLDAAC/1106",height from Carmona et al. 2021 Sci Adv
CAREX ARENARIA,19.12604168,0.384259259,,14.42164292,1.02,,,,,,"HOIDE, HYIDE",Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
CAREX BINERVIS,13.9,1,,10.6,,,,,,,"Lygra_intermediate, Lygra_old",Cyperaceae,GRAMINOID,NULL,GRAMINOID,,,,
CAREX BONARIENSIS,,,,,,,,,,,Las Chilcas Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
CAREX BREVICULMIS,18.30157885,0.05,,14.60009466,,,,,,,Falls Creek,Cyperaceae,GRASS,PERENNIAL,GRAMINOID,,,,
CAREX BREVIOR,15.4945,0.254,,21.15675902,,,,,,,Konza Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,leafN from Komastu et al. 2023 EDI,
CAREX CARYOPHYLLEA,18,0.223333333,,18.76023077,0.2,,,0.0784,diam from groot,,"Allmend Brachy, Allmend Ovina",Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
CAREX CURVULA,12,0.15,,9.999104145,0.65,,,,,,Passo Gavia,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,height from Carmona et al. 2021 Sci Adv.,
CAREX DISTACHYA,,0.1756,,4.8,0.91,,,,,,Ayora Experimental Station,Cyperaceae,GRAMINOID,PERENNIAL,FORB,,,,
CAREX ECHINATA,17.8,0.33305,,15.53,0.2032,,,,,,"Lygra_intermediate, Lygra_old",Cyperaceae,GRAMINOID,NULL,GRAMINOID,,,,
CAREX FILIFOLIA,16.11,0.33528,,,0.254,0.510912698,107.557439,0.181971429,"diam, RTD, SRL from groot",,"Cedar Point - Drought-Net, North Platte",Cyperaceae,GRASS,PERENNIAL,GRAMINOID,,,"leafN from Adler P. B., D. G. Milchunas, W. K. Lauenroth, O. E. Sala and I. C. Burke  (2004) Functional traits of graminoids in semi-arid steppes: a test of grazing histories. Journal of Applied Ecology 2004 41, 653–663",
CAREX FLACCA,17.07498081,0.37125,4.956666667,14.4018786,0.83,0.169025277,218.7926062,0.380313725,"diam, RTD, SRL, rootC and N from groot",,"Allmend Brachy, Allmend Ovina",Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
CAREX HEBES,,,,19.096154,,,,,,,Falls Creek,Cyperaceae,GRASS,PERENNIAL,GRAMINOID,,,,
CAREX INOPS,,,,,,,,,,,"Cowichan Drt, Konza Drt",Cyperaceae,"GRASS, Graminoid (Konza Drt)",PERENNIAL,GRAMINOID,,,,
CAREX LIPAROCARPOS,20.95166667,0.185,,25.83979328,0.26,,,,,,Kiskunsag,Cyperaceae,GRASS,PERENNIAL,GRAMINOID,,,height from Carmona et al. 2021 Sci Adv,
CAREX MEADII,19.185,0.2292,,21.29444762,,,,,,,Konza Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,leafN from Craine et al. 2012 Plant Soil,"SLA from Miller JED, Ives AR, Harrison SP, Damschen EI (2018) Early&#8208; and late&#8208;flowering guilds respond differently to landscape spatial structure. J Ecol. 106:1033–1045. https://doi.org/10.1111/1365-2745.12849"
CAREX MIYABEI,19.77571,0.621,,19.71,,,,,,,Teshio Experimental Grassland,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
CAREX NIGRA,24.40009307,0.388666667,6.648625922,20.83559904,0.56,,52.8,0.2421,,,"Lygra_intermediate, Lygra_old",Cyperaceae,GRAMINOID,NULL,GRAMINOID,,,,
CAREX PANICEA,16.1715862,0.31,,17.69830765,0.49,,9.14,,"diam, SRL, RootC and N from groot",,Lygra_intermediate,Cyperaceae,GRAMINOID,NULL,GRAMINOID,,,,
CAREX PHALAROIDES,,0.21,,,,,,,,,"Las Chilcas Drt, EEA, Mar Chiquita Drt",Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
CAREX PILULIFERA,27.98325592,0.225625,,19.13235729,,,,,,,"Lygra_intermediate, Lygra_old",Cyperaceae,GRAMINOID,NULL,GRAMINOID,,,,
CAREX SORORIA,,,,,,,,,,,Mar Chiquita Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
CARLINA VULGARIS,15.78260486,0.385,,22.08870347,0.87,0.082888022,322.3538749,0.246275926,"diam, RTD, SRL from groot",,"Allmend Brachy, Allmend Ovina",Compositae,FORB,PERENNIAL,FORB,,,,
CARPHEPHORUS BELLIDIFOLIUS,,,,,,,,,,,Sandhills,Compositae,FORB,PERENNIAL,FORB,,,,
CELMISIA COSTINIANA,,0.515,,9.655537,,,,,,,Falls Creek,Compositae,FORB,PERENNIAL,FORB,,,,
CENCHRUS CILIARIS,18.5,0.9144,6.5,14.69,0.508,,,,RootC and N from groot,,Los Cerrillos,Poaceae,GRASS,PERENNIAL,GRASS,,,,
CENTAUREA ARENARIA,,,,,,,,,,,Kiskunsag,Compositae,FORB,PERENNIAL,FORB,,,,
CENTAUREA HYSSOPIFOLIA,17.42720296,0.42,,9.955818151,,,,,,,Ciempozuelos,Compositae,SUBSHRUB,NULL,WOODY,,,,
CENTAUREA JACEA,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,"RootC, Diam,depth,RTD, SRL from groot",,"Allmend Brachy, Allmend Ovina, Bayreuth_DroughtNet, Rhijnauwen",Compositae,FORB,PERENNIAL,FORB,,,,
CENTAUREA MELITENSIS,19.1,1,,9.4,0.3,,145.36,,,,"CredoJ, CredoM, La Campana North Facing, La Campana South Facing",Compositae,FORB,ANNUAL,FORB,,,leafN from Komatsu et al. 2023 EDI,
CENTAUREA SCABIOSA,22.3,0.9625,,16.2315625,2.708833,,,,,,"Allmend Brachy, Allmend Ovina",Compositae,FORB,PERENNIAL,FORB,,,,
CENTIPEDA CUNNINGHAMII,,0.2,,18.1,,,,,,,Quilpie,Compositae,FORB,PERENNIAL,FORB,,,,
Centrolepis ARISTATA,19.7,0.09857143,,28.092362,,,,,,,Jilpanger,Centrolepidaceae,FORB,ANNUAL,FORB,,,,
Centrolepis POLYGYNA,,0.07,,,,,,,,,Jilpanger,Centrolepidaceae,FORB,ANNUAL,FORB,,,,
Centrolepis STRIGOSA,,0.11,,5.632,,,,,,,Jilpanger,Centrolepidaceae,FORB,ANNUAL,FORB,,,,
CENTROSTEGIA THURBERI,,,,,,,,,,,Gmdrc Molar Junction,Polygonaceae,FORB,ANNUAL,FORB,,,,
CEPHALARIA PUNGENS,,,,,,,,,,,Ukulinga Drought,Caprifoliaceae,FORB,PERENNIAL,FORB,,,,
CEPHALIPTERUM DRUMMONDII,,0.33086325,,37.282501,,,,,,,"CredoJ, CredoM",Compositae,FORB,ANNUAL,FORB,,,,
CERASTIUM ARVENSE,32.11111111,0.188888889,,21.10181624,0.22,0.486326636,91.58154988,0.188766667,"diam, RTD, SRL from groot",,"Biddulph, Brookdale, CMSS, Cowichan Drt, EE Elva, Kernen_burned, Kernen_unburned, Matador, Potrok Aike Drt",Caryophyllaceae,FORB,PERENNIAL,FORB,,,leafN from Komastu et al. 2023 EDI,
CERASTIUM FONTANUM,24.9755,0.218333333,8.721238939,25.83139407,,0.133299797,101.6244572,0.282,"diam, RTD, SRL, rootC and N from groot",,"Bad Drought, Bayreuth_DroughtNet, Jena, Rhijnauwen",Caryophyllaceae,FORB,PERENNIAL,FORB,,,,
CERASTIUM GLOMERATUM,23,0.249,14.7,23.38503171,0.11,,318,,"rootN, SRL from groot",,"Cowichan Drt, Jena",Caryophyllaceae,FORB,ANNUAL,FORB,,,,
CERATOCEPHALA TESTICULATA,,,,,,,,,,,OCTC_GreatBasin,Ranunculaceae,FORB,ANNUAL,FORB,,,,
CHAENACTIS FREMONTII,11,,3.35,,,,,,,,NNSS_Mojave,Compositae,FORB,ANNUAL,FORB,,,,
CHAENACTIS STEVIOIDES,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank, Gmdrc Granitecove, Gmdrc Molar Junction",Compositae,FORB,ANNUAL,FORB,,,,
CHAEROPHYLLUM ERIOPODUM,,,,,,,,,,,Falls Creek,Apiaceae,FORB,PERENNIAL,FORB,,,,
CHAETACANTHUS BURCHELLII,,,,,,,,,,,Ukulinga Drought,Acanthaceae,SHRUB,PERENNIAL,FORB,,,,
CHAMAECRISTA FASCICULATA,39.6,0.73152,,20.88,0.3556,0.162591084,96.91819095,0.2980125,"diam, RTD, SRL from groot",,"Oklahoma (KAEFS-OK), Sandhills",Fabaceae,FORB,ANNUAL,LEGUME,,,,
CHAMAECRISTA NICTITANS,,,,,,,,,,,Sandhills,Fabaceae,LEGUME,ANNUAL,LEGUME,,,,
CHAMAECRISTA RAMOSA,,,,,,,,,,,Guaribas,Fabaceae,SUBSHRUB,PERENNIAL,LEGUME,,,,
CHAMAESCILLA CORYMBOSA,23,0.4,,63.13,,,,,,,Jilpanger,Asphodelaceae,FORB,PERENNIAL,FORB,,,,
CHENOPODIUM ALBUM,27.125,1.174877193,10.87,22.66936863,1.19,0.372010894,215.0556376,0.230308403,"rootC and N, RTD, SRL, diam from groot",,"Antelope, Bad Drought, Biddulph, Cedar Point - Drought-Net, Kinsella",Amaranthaceae,FORB,ANNUAL,FORB,,,,
CHENOPODIUM QUINOA,,,,,,,,,,,San Claudio,Amaranthaceae,FORB,BIENNIAL,FORB,,,,
CHLOROGALUM POMERIDIANUM,28.9,,,12.962,,,,,,,SantaCruzHigh,Hyacinthaceae,FORB,PERENNIAL,FORB,,,,
CHONDROSUM ERIOPODUM,14.8969364,0.6096,,18.54844313,,,,0.03,,,"Antelope, Jornada_LTER Drt, JRN_Chihuahuan, Sevilleta_Black, Sevilleta_Blue, Sevilleta_Mixed",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,height from Carmona et al. 2021 Sci Adv.,
CHONDROSUM GRACILE,15.9806955,0.202828111,,15.34680195,,,,0.036,,,"Biddulph, Sevilleta_Blue, Sevilleta_Mixed",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,height from Carmona et al. 2021 Sci Adv.,
CHORIZANTHE BREVICORNU,,,,,,,,,,,"Cap Whitetank, NNSS_Mojave",Polygonaceae,FORB,ANNUAL,FORB,,,,
CHORIZANTHE RIGIDA,,,,,,,,,,,NNSS_Mojave,Polygonaceae,FORB,ANNUAL,FORB,,,,
CHRYSOCEPHALUM APICULATUM,27.1,0.4,,16.64122201,,,,,,,"Broken Hill, Jilpanger, Milparinka",Compositae,FORB,PERENNIAL,FORB,,,,
CHRYSOPSIS MARIANA,,,,,,,,,,,Sandhills,Compositae,FORB,PERENNIAL,FORB,,,,
CHRYSOTHAMNUS VISCIDIFLORUS,29.7,0.9144,,,0.3556,,,,,,"CMSS, Hardware Ranch, ORE IDE AC",Compositae,SHRUB,PERENNIAL,WOODY,,,leafN from BIEN,
CHYLISMIA CLAVIFORMIS,,,,,,,,,,,NNSS_Mojave,Onagraceae,FORB,ANNUAL,FORB,,,,
CIRSIUM ARVENSE,29.75611991,0.84284049,15.2,16.60803212,1.853333,,64,0.71,"RootN and SRL from Groot, Rdiam from Julie Larson",,"Bad Drought, Biddulph, Brookdale, ESW, Kernen_burned, Kernen_unburned",Compositae,FORB,PERENNIAL,FORB,,,,
CIRSIUM VULGARE,38.6,1.175,,14.23064781,2.1,0.285613682,131.2433191,0.184,"RTD, SRL, Diam from groot",,"Bad Drought, Las Chilcas Drt, ESW, Naposta, SantaCruzHigh, SantaCruzLow, SantaCruzMiddle",Compositae,FORB,BIENNIAL,FORB,,,,
CISTUS ALBIDUS,13.70833333,1,,15.54983587,,0.775024053,6.965677795,0.4331,"RTD, SRL, Diam from groot",,Ayora Experimental Station,Cistaceae,SHRUB,PERENNIAL,WOODY,,,,
CISTUS CLUSII,17.575,1,,15.66073822,,,,,,,Ayora Experimental Station,Cistaceae,SHRUB,PERENNIAL,WOODY,,,,
CLAYTONIA PERFOLIATA,,0.222866667,,52.4560081,0.1524,,,,,,Cowichan Drt,Montiaceae,FORB,NULL,FORB,,,,
CLINOPODIUM DARWINII,,,,,,,,,,,Potrok Aike Drt,Lamiaceae,FORB,PERENNIAL,FORB,,,,
CLINOPODIUM VULGARE,21.64,0.1,9.27871,26.03,0.1524,,,,"leafN, height, SLA from PI",rootN from groot,Jena,Lamiaceae,FORB,PERENNIAL,FORB,,,,
COLLINSIA PARVIFLORA,,0.3048,,32.3,,,,0.28,,,"Cowichan Drt, ORE IDE AA, ORE IDE AC",Scrophulariaceae,FORB,ANNUAL,FORB,,,,
COLLOMIA GRANDIFLORA,,0.4,,,,,,,,,ORE IDE AC,Polemoniaceae,FORB,ANNUAL,FORB,,,,
COLOBANTHUS LYCOPODOIDES,,,,,,,,,,,Potrok Aike Drt,Caryophyllaceae,SUBSHRUB,PERENNIAL,WOODY,,,,
COMANDRA UMBELLATA,21.0594,0.2205,,18.08533756,,0.334821433,31.36179282,0.321385714,"RTD, SRL, Diam from groot",,"Brookdale, Cedar Creek Savanna, Hardware Ranch, Matador",Santalaceae,FORB,PERENNIAL,FORB,,,height from Carmona et al. 2021 Sci Adv.,
COMMELINA AFRICANA,,,,,,,,,,,Ukulinga Drought,Commelinaceae,FORB,PERENNIAL,FORB,,,,
COMMELINA CYANEA,30.634,0.1,,34.85,,0.12642,,0.05284,,,Yarramundi Drt,Commelinaceae,FORB,PERENNIAL,FORB,,,,
CONVOLVULUS ARVENSIS,27.77,0.048,12.29,17.215475,2.24,,31.40813333,,"leafN, height, SLA from PI","rootC and N, SRL from groot","Brookdale, Jena, SantaCruzMiddle",Convolvulaceae,FORB,PERENNIAL,FORB,,,,
CONYZA CANADENSIS,27.9,0.836805556,,21.34368455,0.1524,0.09,119,0.35,,,"Bivens Arm, Kiskunsag, SLP",Compositae,FORB,NULL,FORB,,,,
CONYZA SUMATRENSIS,22.33333334,0.058,,18.2,,,,,,,Yarramundi Drt,Compositae,NULL,ANNUAL,FORB,,,leafN from Carmona et al. 2021 Sci Adv.,
CORDOBIA ARGENTEA,27.9,,,5.52599535,,,,,,,Los Cerrillos,Malpighiaceae,VINE,PERENNIAL,WOODY,,,,
COREOPSIS PALMATA,12.06502778,0.614,18.5591,18.06209157,,0.1,82.33333333,0.33,"rootN, RTD, SRL, Diam from groot",,"Cedar Creek Savanna, Cedar Creek Trait ",Compositae,FORB,PERENNIAL,FORB,,,,
COREOPSIS TINCTORIA,14.704,0.1905,12.73,14.36677143,,,28.59345,,"RootC and N, SRL from groot",,Cedar Point - Drought-Net,Compositae,FORB,ANNUAL,FORB,,,,
CORIS MONSPELIENSIS,18.43820333,0.275,,12.91,,,,,,,Ayora Experimental Station,Primulaceae,SUBSHRUB,PERENNIAL,WOODY,,,height from Carmona et al. 2021 Sci Adv.,
CORNUS SUECICA,19.69489943,0.171111111,7.812801366,32.24866466,,0.1481156,,,RootC and N from groot,,Lygra_intermediate,Cornaceae,FORB,NULL,WOODY,,,,
COTTEA PAPPOPHOROIDES,,,,,,,,,,,Los Cerrillos,Poaceae,GRASS,ANNUAL,GRASS,,,,
CRABBEA SQUARROSA,,,,,,,,,,,Ukulinga Drought,Acanthaceae,FORB,PERENNIAL,FORB,,,,
CRASPEDIA AURANTIA,,0.6,,23.731463,,,,,,,Falls Creek,Compositae,FORB,PERENNIAL,FORB,,,,
CRASSULA CONNATA,,,,,,,,,,,Cap Whitetank,Crassulaceae,FORB,ANNUAL,FORB,,,,
CREPIS BIENNIS,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,"leafN, height, SLA from PI","RootC and N, RTD, SRL, Diam from groot","Allmend Brachy, Bad Drought, Bayreuth_DroughtNet, Jena",Compositae,FORB,PERENNIAL,FORB,,,,
CREPIS CAPILLARIS,15.38228961,0.458333333,10.7,35.00023666,0.385,,138,,,RootN and SRL from groot,Bad Drought,Compositae,FORB,ANNUAL,FORB,,,,
CREPIS FOETIDA,17.2,0.27525,14.175,20.14985816,2.5,0.072,296.13,0.280689138,,"RootC and N, RTD, SRL, Diam from groot",Kiskunsag,Compositae,FORB,PERENNIAL,FORB,,,,
CREPIS TECTORUM,14.21254536,0.148,,22.33002853,,,119,0.34,,,"Cedar Creek Trait, EE Elva",Compositae,FORB,ANNUAL,FORB,,,,
CROTALARIA MICROCARPA,,1.5,,,,,,,,,Ukulinga Drought,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
CROTON GLANDULOSUS,17.5,,,38.2464889,,,,,,,BFL,Euphorbiaceae,FORB,ANNUAL,FORB,,,,
CROTON LINDHEIMERIANUS,,,,,,,,,,,BFL,Euphorbiaceae,FORB,ANNUAL,FORB,,,,
CROTON MONANTHOGYNUS,17.5,0.21,,18.1,,,,,,,Oklahoma (KAEFS-OK),Euphorbiaceae,FORB,ANNUAL,FORB,,,height from Carmona et al. 2021 Sci Adv.,
CROTON POTTSII,,,,,1.593333333,,,,depth from groot,,"Jornada_LTER Drt, JRN_Chihuahuan",Euphorbiaceae,FORB,PERENNIAL,FORB,,,,
CRUCIATA GLABRA,17.002,0.194,,21.52069774,0.14,,,,,,Pineta,Rubiaceae,FORB,NULL,FORB,,,,
CRYPTANTHA CIRCUMSCISSA,,,,,,,,,,,"Gmdrc Granitecove, Gmdrc Molar Junction, NNSS_Mojave",Boraginaceae,FORB,ANNUAL,FORB,,,,
CRYPTANTHA INTERMEDIA,,,,,,,,,,,NNSS_Mojave,Boraginaceae,FORB,ANNUAL,FORB,,,,
CRYPTANTHA PTEROCARYA,,,0.9,,,,,,,,"Cap Mcdowell, Gmdrc Granitecove, Gmdrc Molar Junction, NNSS_Mojave",Boraginaceae,FORB,ANNUAL,FORB,,,,
CUCUMIS MYRIOCARPUS,,2,,,,,,,,,CredoJ,Cucurbitaceae,FORB,ANNUAL,FORB,,,,
CUPHEA FLAVA,,,,,,,,,,,CredoJ,Cucurbitaceae,FORB,ANNUAL,FORB,,,,
CUSCUTA PLANIFLORA,,0.5,,,,,,,,,"CredoJ, CredoM",Convolvulaceae,FORB,ANNUAL,FORB,,,height from Carmona et al. Sci Adv.,
CYMBOPOGON CAESIUS,13.857227,0.838,,17.88,,,,,,,Ukulinga Drought,Poaceae,GRASS,PERENNIAL,GRASS,,,height from Carmona et al. Sci Adv.,
CYMOPTERUS GLOMERATUS,,,,,,,,,,,North Platte,Apiaceae,FORB,PERENNIAL,FORB,,,,
CYNODON DACTYLON,16.887,0.235788519,,16.61,0.3556,0.51,26.34,0.071,,,"Bivens Arm, Las Chilcas Drt, San Claudio, Yarramundi Drt",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
CYNOSURUS CRISTATUS,18.7,0.588,8.98,25.76472222,0.22,,331.2666667,,,,"Bayreuth_DroughtNet, Rhijnauwen",Poaceae,GRASS,PERENNIAL,GRASS,,,"leafN from Gos P., Loucougaray G., Colace MP., Arnoldi C., Gaucherand S., Dumazel D., Girard L., Delorme S., Lavorel S. (2016) Oecologia 180:1001 doi:10.1007/s00442-016-3551-3",
CYNOSURUS ECHINATUS,37.42095333,0.475,,36.47575504,,,,0.602,,,SantaCruzHigh,Poaceae,FORB,ANNUAL,GRASS,,,leafN from BIEN,"SLA from Sandel, B., J. D. Corbin, and M. Krupa. 2011. Using plant functional traits to guide restoration: a case study in California coastal grassland. Ecosphere 2(2):art23. doi:10.1890/ES10-00175.1"
CYPELLA HERBERTII,,,,,,,,,,,Las Chilcas Drt,Iridaceae,FORB,PERENNIAL,FORB,,,,
CYPERUS ERAGROSTIS,,0.9,,14.342367,,,,,,,Las Chilcas Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,,
CYPERUS LUPULINUS,10.34,,,10.33333333,,,,,,,Konza Drt,Cyperaceae,GRAMINOID,PERENNIAL,GRAMINOID,,,leafN from Craine et al. 2012 Plant Soil,SLA from Carmona et al. 2021 Sci Adv.
CYPERUS REFLEXUS,,0.5,,11.65762839,,,,,,,Mar Chiquita Drt,Cyperaceae,GRASS,PERENNIAL,GRAMINOID,,,,
CYPRIPEDIUM PARVIFLORUM,,,,,,,,,,,Brookdale,Orchidaceae,FORB,PERENNIAL,FORB,,,,
CYTISUS SCOPARIUS,31.01944444,1.7959,,22.29605641,0.4064,,,0.314,,,Cowichan Drt,Fabaceae,SHRUB,PERENNIAL,LEGUME,,,,
DACTYLIS GLOMERATA,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,"RTD, SRL from groot",,"Bad Drought, Bayreuth_DroughtNet, Cowichan Drt, Middle Ebro Valley, EE Elva, Jena, Pineta, Rhijnauwen, Validate",Poaceae,GRASS,PERENNIAL,GRASS,,,,
DACTYLORHIZA MACULATA,22.6,0.6,,24.23285714,,,,,,,"Lygra_intermediate, Lygra_old, Pineta",Orchidaceae,FORB,NULL,FORB,,,,
DALEA CANDIDA,25.2,0.46064,18,10.76043991,1.74,0.11247663,80.24918574,0.309342857,"RTD, SRL, RootN,Diam from groot",,"Konza Drt, Oklahoma (KAEFS-OK)",Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
DALEA ENNEANDRA,,,,,,,,,,,Cedar Point - Drought-Net,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
