,Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
84,ANDROPOGON GLOMERATUS,ANDROPOGON,,glomeratus,NA,NA,,,kew-392498,TRUE,1.1,Accepted,Poaceae,Andropogon,,glomeratus,,,"(Walter) Britton, Sterns & Poggenb.",kew-392498,Accepted,FALSE,FALSE,FALSE,12/26/24
85,ANDROPOGON LATERALIS,ANDROPOGON,,lateralis,NA,NA,,,kew-392734,TRUE,1.1,Accepted,Poaceae,Andropogon,,lateralis,,,Nees,kew-392734,Accepted,FALSE,FALSE,FALSE,12/26/24
86,ANDROPOGON VIRGINICUS,ANDROPOGON,,virginicus,NA,NA,,,kew-393606,TRUE,1.1,Accepted,Poaceae,Andropogon,,virginicus,,,L.,kew-393606,Accepted,FALSE,FALSE,FALSE,12/26/24
87,ANDROSACE SEPTENTRIONALIS,ANDROSACE,,septentrionalis,NA,NA,,,kew-2637777,TRUE,1.1,Accepted,Primulaceae,Androsace,,septentrionalis,,,L.,kew-2637777,Accepted,FALSE,FALSE,FALSE,12/26/24
89,ANEMONE CAROLINIANA,ANEMONE,,caroliniana,NA,NA,,,kew-2638101,TRUE,1.1,Accepted,Ranunculaceae,Anemone,,caroliniana,,,Walter,kew-2638101,Accepted,FALSE,FALSE,FALSE,12/26/24
90,ANEMONE CYLINDRICA,ANEMONE,,cylindrica,NA,NA,,,kew-2638150,TRUE,1.1,Accepted,Ranunculaceae,Anemone,,cylindrica,,,A.Gray,kew-2638150,Accepted,FALSE,FALSE,FALSE,12/26/24
91,ANEMONE PATENS,ANEMONE,,patens,NA,NA,,,kew-2638552,TRUE,1.1,Accepted,Ranunculaceae,Anemone,,patens,,,L.,kew-2638552,Accepted,FALSE,FALSE,FALSE,12/26/24
92,ANTENNARIA CHILENSIS,ANTENNARIA,,chilensis,NA,NA,,,gcc-122028,TRUE,1.1,Accepted,Compositae,Antennaria,,chilensis,,,J.Rémy,gcc-122028,Accepted,FALSE,FALSE,FALSE,12/26/24
93,ANTENNARIA MEDIA,ANTENNARIA,,media,NA,NA,,,gcc-8487,TRUE,1.1,Accepted,Compositae,Antennaria,,media,,,Greene,gcc-8487,Accepted,FALSE,FALSE,FALSE,12/26/24
94,ANTENNARIA NEGLECTA,ANTENNARIA,,neglecta,NA,NA,,,gcc-128516,TRUE,1.1,Accepted,Compositae,Antennaria,,neglecta,,,Greene,gcc-128516,Accepted,FALSE,FALSE,FALSE,12/26/24
95,ANTHOXANTHUM ODORATUM,ANTHOXANTHUM,,odoratum,NA,NA,,,kew-394021,TRUE,1.1,Accepted,Poaceae,Anthoxanthum,,odoratum,,,L.,kew-394021,Accepted,FALSE,FALSE,FALSE,12/26/24
96,ANTHRISCUS SYLVESTRIS,ANTHRISCUS,,sylvestris,NA,NA,,,kew-2641868,TRUE,1.1,Accepted,Apiaceae,Anthriscus,,sylvestris,,,(L.) Hoffm.,kew-2641868,Accepted,FALSE,FALSE,FALSE,12/26/24
97,ANTHYLLIS VULNERARIA,ANTHYLLIS,,vulneraria,NA,NA,,,ild-7194,TRUE,1.1,Accepted,Leguminosae,Anthyllis,,vulneraria,,,L.,ild-7194,Accepted,FALSE,FALSE,FALSE,12/26/24
98,APERA SPICA-VENTI,APERA,,spica-venti,NA,NA,,,kew-394118,TRUE,1.1,Accepted,Poaceae,Apera,,spica-venti,,,(L.) P.Beauv.,kew-394118,Accepted,FALSE,FALSE,FALSE,12/26/24
99,APHANES ARVENSIS,APHANES,,arvensis,NA,NA,,,rjp-34,TRUE,1.1,Accepted,Rosaceae,Aphanes,,arvensis,,,L.,rjp-34,Accepted,FALSE,FALSE,FALSE,12/26/24
100,APHELIA PUMILIO,APHELIA,,pumilio,NA,NA,,,kew-220572,TRUE,1.1,Accepted,Centrolepidaceae,Aphelia,,pumilio,,,F.Muell. ex Sond.,kew-220572,Accepted,FALSE,FALSE,FALSE,12/26/24
101,APHYLLANTHES MONSPELIENSIS,APHYLLANTHES,,monspeliensis,NA,NA,,,kew-299864,TRUE,1.1,Accepted,Asparagaceae,Aphyllanthes,,monspeliensis,,,L.,kew-299864,Accepted,FALSE,FALSE,FALSE,12/26/24
102,APOCYNUM CANNABINUM,APOCYNUM,,cannabinum,NA,NA,,,kew-12828,TRUE,1.1,Accepted,Apocynaceae,Apocynum,,cannabinum,,,L.,kew-12828,Accepted,FALSE,FALSE,FALSE,12/26/24
