"","Taxon","site_code","mean.after.control.0","mean.after.drought.0","mean.before.control.0","mean.before.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"687","LIATRIS ASPERA","cedarsav.us",0,0,0,1,-1,0,-1,12.33641253,0.68,20.498833,17.00092904,NA,0.135313282,193.6403191,0.335858333,"FORB","PERENNIAL","FORB"
"688","LIATRIS PUNCTATA","bfl.us",13.66666667,11.5,0,0,11.5,13.66666667,-2.166666667,16.817,0.6096,NA,9.8333502,0.3556,0.16753096,118.8077502,0.3044,"FORB","PERENNIAL","FORB"
"689","LIATRIS PUNCTATA","cdpt_drt.us",0.5,1,0.5,0.5,0.5,0,0.5,16.817,0.6096,NA,9.8333502,0.3556,0.16753096,118.8077502,0.3044,"FORB","PERENNIAL","FORB"
"690","LIATRIS PUNCTATA","biddulph.ca",0,1,0,0,1,0,1,16.817,0.6096,NA,9.8333502,0.3556,0.16753096,118.8077502,0.3044,"FORB","PERENNIAL","FORB"
"691","LIATRIS SQUARROSA","oklah.us",0.5,1.75,0,0,1.75,0.5,1.25,22.06384,0.4548,NA,16.33650548,0.67,NA,NA,NA,"FORB","PERENNIAL","FORB"
"692","LIGUSTICUM MUTELLINA","passogavia.it",12,46,14.5,30,16,-2.5,18.5,21.8,0.28,NA,24.9616,0.68,NA,NA,NA,"FORB","PERENNIAL","FORB"
"693","LINARIA GENISTIFOLIA","kiskun.hu",0,0,1,0,0,-1,1,NA,0.4625,NA,13.36,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"694","LINARIA VULGARIS","cedartrait.us",0,0,2,2,-2,-2,0,19.85205652,0.609388889,NA,22.52432988,NA,0.521818182,120.6592943,0.1355,"FORB","PERENNIAL","FORB"
"695","LINUM BIENNE","scruzh.us",3.6585366,6.29785905,1.033563767,1.661239833,4.636619217,2.624972833,2.011646383,NA,0.279516908,NA,20.94632332,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"696","LINUM CATHARTICUM","allmendo.ch",2.083333333,1.666666667,5.416666667,6.25,-4.583333333,-3.333333333,-1.25,20.2751018,0.184833333,NA,29.89038332,0.18,NA,308.1,NA,"FORB","ANNUAL","FORB"
"697","LINUM CATHARTICUM","allmendb.ch",2.5,2.083333333,4.583333333,3.25,-1.166666667,-2.083333333,0.916666667,20.2751018,0.184833333,NA,29.89038332,0.18,NA,308.1,NA,"FORB","ANNUAL","FORB"
"698","LINUM CATHARTICUM","elvadrt.ee",1,1.5,0,1,0.5,1,-0.5,20.2751018,0.184833333,NA,29.89038332,0.18,NA,308.1,NA,"FORB","ANNUAL","FORB"
"699","LINUM MEDIUM","slp.us",1,0,0,0,0,1,-1,NA,0.328,NA,22.57688088,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"700","LINUM PERENNE","hard.us",1,0,0,0,0,1,-1,31.9,0.466666667,NA,26.23333333,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"701","LINUM SULCATUM","oklah.us",0,0.5,0,0,0.5,0,0.5,23.055,0.458,NA,17.12,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"702","LITHOSPERMUM CANESCENS","cedarsav.us",3,4.333333333,2.5,0,4.333333333,0.5,3.833333333,18.9752,0.282,NA,14.43083537,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"703","LITHOSPERMUM CANESCENS","brookdale.ca",1,1.666666667,0,0,1.666666667,1,0.666666667,18.9752,0.282,NA,14.43083537,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
