,Species,leafN.mg.g,Height.m,rootN.mg.g,SLA.mg.g,Root.depth.m,SRL.fine.cm.g,root.diam.mm,SLA.no.petiole.mm2.mg,SLA.unknown.petiole.mm2.mg,SLA.petiole.mm2.mg
2178,Carex muricata,NA,0.4375,NA,17.06666667,NA,NA,NA,17.06666667,NA,NA
2179,Carex muskingumensis,NA,0.9144,NA,NA,0.2032,NA,NA,NA,NA,NA
2180,Carex myosuroides,28.433335,0.2,NA,9.9,NA,NA,NA,NA,9.9,NA
2181,Carex nardina,16.7,NA,6.7,NA,NA,NA,NA,NA,NA,NA
2182,Carex nebraskensis,NA,0.9144,NA,NA,0.254,NA,NA,NA,NA,NA
2183,Carex neurocarpa,19.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
2184,Carex nigra,24.40009307,0.388666667,NA,20.2452221,NA,NA,NA,22.88559499,NA,17.60484921
2185,Carex normalis,NA,1.524,NA,NA,0.3048,NA,NA,NA,NA,NA
2186,Carex norvegica,NA,0.055,NA,12.66,NA,NA,NA,NA,NA,12.66
2187,Carex obnupta,NA,0.9144,NA,NA,0.3048,NA,NA,NA,NA,NA
2188,Carex obtusata,NA,0.175,NA,NA,NA,NA,NA,NA,NA,NA
2189,Carex oligosperma,NA,NA,NA,19,NA,NA,NA,19,NA,NA
2190,Carex orbicularis,NA,NA,NA,12.18026797,NA,NA,NA,12.18026797,NA,NA
2191,Carex oreophila,25.54946116,NA,NA,18.19566666,NA,NA,NA,18.19566666,NA,NA
2192,Carex ornithopoda,NA,NA,NA,30.58,NA,NA,NA,NA,NA,30.58
2193,Carex ornithopoda subsp. ornithopodioides,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA
2194,Carex otrubae,NA,0.7,NA,18.3,NA,NA,NA,18.3,NA,NA
2195,Carex pallescens,15.67578793,0.516833333,NA,20.65102718,NA,NA,NA,11.14205435,NA,30.16
2196,Carex panicea,16.1715862,0.31,NA,19.40984827,NA,NA,NA,20.57222222,NA,18.24747431
2197,Carex paniculata,23.2,0.7625,NA,15.77666667,NA,NA,NA,15.77666667,NA,NA
2198,Carex parallela,12.91428571,NA,NA,NA,NA,NA,NA,NA,NA,NA
2199,Carex parviflora,NA,0.065,NA,NA,NA,NA,NA,NA,NA,NA
2200,Carex pauciflora,NA,0.065,NA,18.93,NA,NA,NA,NA,NA,18.93
2201,Carex pediformis,17.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2202,Carex pedunculata,NA,0.593333333,NA,35.71010458,NA,NA,NA,NA,NA,35.71010458
2203,Carex pendula,NA,1,NA,13.3,NA,NA,NA,13.3,NA,NA
2204,Carex pensylvanica,NA,0.205,NA,37.84585702,NA,NA,NA,NA,NA,37.84585702
2205,Carex perlonga,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA
2206,Carex phalaroides,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA
2207,Carex physodes,20.33333333,NA,9.2,NA,NA,NA,NA,NA,NA,NA
2208,Carex pilosa,NA,0.45,NA,24.77666667,NA,NA,NA,NA,NA,24.77666667
2209,Carex pilulifera,27.98325592,0.225625,NA,18.64867865,NA,NA,NA,19.425,NA,17.87235729
2210,Carex polymorpha,NA,0.6096,NA,NA,0.254,NA,NA,NA,NA,NA
2211,Carex praecox,NA,0.2325,NA,16.05,NA,NA,NA,NA,NA,16.05
2212,Carex praegracilis,NA,0.6096,NA,NA,0.254,NA,NA,NA,NA,NA
2213,Carex prasina,NA,0.70104,NA,NA,0.2032,NA,NA,NA,NA,NA
2214,Carex projecta,23.94,0.6096,NA,23.33722287,0.2032,NA,NA,23.33722287,NA,NA
2215,Carex pseudobrizoides,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA
2216,Carex pseudocyperus,NA,0.675,NA,32.4,NA,NA,NA,32.4,NA,NA
2217,Carex pseudofoetida,NA,NA,NA,19.19385797,NA,NA,NA,19.19385797,NA,NA
2218,Carex pulicaris,NA,0.175,NA,9.621666667,NA,NA,NA,8.85,NA,10.39333333
2219,Carex punctata,NA,0.32,NA,29.71666667,NA,NA,NA,NA,NA,29.71666667
2220,Carex pyrenaica,23.27604044,NA,NA,17.97639863,NA,NA,NA,17.97639863,NA,NA
2221,Carex rafflesiana,18.5,0.753,NA,23.20185615,NA,NA,NA,23.20185615,NA,NA
2222,Carex ramenskii,NA,0.4572,NA,NA,0.3048,NA,NA,NA,NA,NA
2223,Carex raynoldsii,NA,0.6096,NA,NA,0.3048,NA,NA,NA,NA,NA
2224,Carex remota,16.37265516,0.461333333,NA,24.12151596,NA,920.8323404,NA,25.75,NA,22.49303191
2225,Carex repens,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA
2226,Carex retrorsa,18.48,NA,NA,23.00437083,NA,NA,NA,23.00437083,NA,NA
2227,Carex richardsonii,NA,0.363888889,NA,23.95962392,NA,NA,NA,NA,NA,23.95962392
2228,Carex riparia,18.77718363,1.037777778,NA,13.36036462,NA,4383.010675,NA,12.824,NA,13.89672924
2229,Carex rossii,NA,0.3048,NA,NA,0.2032,NA,NA,NA,NA,NA
2230,Carex rostrata,20.00344555,0.6292,NA,16.07994616,0.4064,NA,NA,15.03026378,NA,17.12962853
2231,Carex rupestris,15.65,0.075,NA,11.67666667,NA,NA,NA,NA,NA,11.67666667
2232,Carex sartwellii,NA,0.19,NA,21.77536372,NA,NA,NA,NA,NA,21.77536372
2233,Carex saw,NA,NA,NA,15.63747125,NA,NA,NA,NA,NA,15.63747125
2234,Carex saxatilis,28.989125,0.286533333,NA,14.62756109,0.3048,NA,NA,14.62756109,NA,NA
2235,Carex scabrata,NA,0.9144,NA,NA,0.254,NA,NA,NA,NA,NA
2236,Carex scirpoidea,NA,0.4572,NA,NA,0.4064,NA,NA,NA,NA,NA
2237,Carex scoparia,NA,0.762,NA,NA,0.2032,NA,NA,NA,NA,NA
2238,Carex scopulorum,30.95,0.381,NA,NA,0.2032,NA,NA,NA,NA,NA
2239,Carex secalina,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
2240,Carex sempervirens,18.68070963,0.185,NA,13.0457774,NA,NA,NA,15.39308419,NA,10.69847061
2241,Carex shortiana,NA,0.9144,NA,NA,0.2032,NA,NA,NA,NA,NA
2242,Carex siccata,NA,0.178,NA,22.68579758,NA,NA,NA,NA,NA,22.68579758
2243,Carex simpliciuscula,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA
2244,Carex simulata,NA,0.4572,NA,NA,0.254,NA,NA,NA,NA,NA
2245,Carex sp,22.2254507,0.3,NA,14.58633978,NA,NA,NA,NA,NA,14.58633978
2246,Carex sparganioides,NA,0.6097,NA,31.96180848,0.254,NA,NA,NA,NA,31.96180848
2247,Carex spicata,NA,0.4375,NA,19.53333333,NA,NA,NA,15.1,NA,23.96666667
2248,Carex squarrosa,NA,0.9144,NA,NA,0.2032,NA,NA,NA,NA,NA
2249,Carex stenocarpa,NA,NA,NA,22.72727273,NA,NA,NA,22.72727273,NA,NA
2250,Carex stenophylla,NA,NA,NA,19.30501931,NA,NA,NA,19.30501931,NA,NA
2251,Carex stipata,NA,1.0668,NA,NA,0.2032,NA,NA,NA,NA,NA
2252,Carex straminea,NA,0.6022,NA,50.25840336,0.2032,NA,NA,NA,NA,50.25840336
2253,Carex stricta,10.5,1.28016,NA,NA,0.4572,NA,NA,NA,NA,NA
2254,Carex strigosa,NA,0.8125,NA,36.47666667,NA,NA,NA,25.9,NA,47.05333333
2255,Carex subspathacea,NA,0.4572,NA,NA,0.3048,NA,NA,NA,NA,NA
2256,Carex supina,NA,0.065,NA,NA,NA,NA,NA,NA,NA,NA
2257,Carex sylvatica,21.8,0.6625,NA,30.9,NA,NA,NA,30.9,NA,NA
2258,Carex tenera,NA,0.762,NA,NA,0.2032,NA,NA,NA,NA,NA
2259,Carex tenuiflora,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2260,Carex torta,NA,0.85344,NA,NA,0.2032,NA,NA,NA,NA,NA
2261,Carex tribuloides,NA,0.9144,NA,NA,0.2032,NA,NA,NA,NA,NA
2262,Carex trichocarpa,NA,1.0668,NA,NA,0.254,NA,NA,NA,NA,NA
2263,Carex trinervis,NA,0.275,NA,18.44166667,NA,NA,NA,NA,NA,18.44166667
2264,Carex trisperma,13,0.57912,NA,NA,0.2032,NA,NA,NA,NA,NA
2265,Carex tristis,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2266,Carex tuckermanii,19.04,NA,NA,25.57544757,NA,NA,NA,25.57544757,NA,NA
2267,Carex turkestanica,NA,0.075,NA,NA,NA,NA,NA,NA,NA,NA
2268,Carex typhina,NA,0.6096,NA,NA,0.2032,NA,NA,NA,NA,NA
2269,Carex umbrosa,12.74237501,0.325,NA,19.4176301,NA,NA,NA,17.52192686,NA,21.31333333
2270,Carex uncinata,NA,0.321428571,NA,15.35727443,NA,NA,NA,NA,NA,15.35727443
2271,Carex utriculata,NA,1.0668,NA,NA,0.2032,NA,NA,NA,NA,NA
2272,Carex vaginata,18.61912693,0.1875,NA,24.32326471,NA,NA,NA,16.08579412,32.834,24.05
2273,Carex vesicaria,19.2,0.788133333,NA,16.906,0.4064,NA,NA,16.906,NA,NA
2274,Carex viridula,20.50013697,0.272161905,NA,18.33028479,0.254,NA,NA,NA,NA,18.33028479
2275,Carex vulpina,NA,0.9,NA,21.32734345,NA,NA,NA,24.85333333,NA,17.80135356
2276,Carex vulpinoidea,NA,0.733453333,NA,18.5789487,0.4064,NA,NA,NA,NA,18.5789487
2277,Carex xerantica,NA,0.35,NA,14.68852459,NA,NA,NA,NA,NA,14.68852459
2278,Carica papaya,NA,6.096,NA,NA,1.016,NA,NA,NA,NA,NA
2279,Cariniana estrellensis,NA,NA,NA,13.83102905,NA,NA,NA,NA,13.83102905,NA
2280,Cariniana ianeirensis,NA,NA,NA,19.12487493,NA,NA,NA,NA,19.12487493,NA
2281,Cariniana sp,NA,NA,NA,29.30107485,NA,NA,NA,29.30107485,NA,NA
2282,Carissa bispinosa,NA,NA,NA,11.9047619,NA,NA,NA,NA,11.9047619,NA
2283,Carissa carundu,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2284,Carissa spinarum,12.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
2285,Carlina acaulis,18.344,0.248,NA,11.3845405,NA,NA,NA,11.77333333,NA,10.99574767
2286,Carlina vulgaris,15.78260486,0.385,NA,22.08870347,NA,NA,NA,NA,NA,22.08870347
2287,Carlina vulgaris subsp. vulgaris,NA,NA,NA,13.35,NA,NA,NA,13.35,NA,NA
2288,Carludovica palmata,19.6,NA,NA,19.65598697,NA,NA,NA,NA,18.62197393,20.69
2289,Carmichaelia grandiflora,NA,1,NA,18.60239704,NA,NA,NA,NA,NA,18.60239704
2290,Carmichaelia odorata,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2291,Carmichaelia robusta,NA,1.5,NA,2.142516695,NA,NA,NA,NA,NA,2.142516695
2292,Carnegiea gigantea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2293,Caroxylon dendroides,17.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
2294,Caroxylon orientale,42.9,NA,13.6,NA,NA,NA,NA,NA,NA,NA
2295,Carpesium cernuum,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
2296,Carpha alpina,NA,0.15,NA,7.511817997,NA,NA,NA,NA,NA,7.511817997
2297,Carpinus betulus,21.46047358,17.00776576,NA,21.97109954,NA,1373.885417,NA,23.2090555,17.21353323,25.49070988
2298,Carpinus caroliniana,18,7.1196,NA,26.00841331,0.508,NA,NA,28.14364098,23.87318564,NA
2299,Carpinus cordata,NA,16,NA,15.96461668,NA,NA,NA,NA,15.96461668,NA
2300,Carpinus japonica,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
2301,Carpinus omeiensis,NA,NA,NA,19.60784314,NA,NA,NA,NA,19.60784314,NA
2302,Carpinus orientalis,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
2303,Carpinus tschonoskii,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
2304,Carpobrotus acinaciformis,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2305,Carpobrotus edulis,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
2306,Carpodetus serratus,NA,4.933333333,NA,22.20702202,NA,NA,NA,NA,NA,22.20702202
2307,Carthamus lanatus,NA,0.9,NA,7.74,NA,NA,NA,NA,NA,7.74
2308,Carthamus tinctorius,NA,0.9475,NA,14.15,NA,NA,NA,NA,NA,14.15
2309,Carum carvi,29.0796459,0.522722222,NA,24.66728644,NA,NA,NA,26.385,NA,22.94957288
2310,Carum caucasicum,29.0299806,NA,NA,12.39483072,NA,NA,NA,12.39483072,NA,NA
2311,Carum meifolium,31.32075527,NA,NA,17.71805162,NA,NA,NA,17.71805162,NA,NA
2312,Carya alba,20.88333333,13.9916,NA,20.16239057,1.27,NA,NA,14.53284227,25.79193887,NA
2313,Carya aquatica,NA,26.656,NA,NA,1.2192,NA,NA,NA,NA,NA
2314,Carya cordiformis,16.75,24.906,NA,27.51395,1.27,NA,NA,NA,27.51395,NA
2315,Carya glabra,16.6,22.16266667,NA,15.91661441,1.27,NA,NA,15.91661441,NA,NA
2316,Carya illinoinensis,NA,40.835,NA,NA,0.8128,NA,NA,NA,NA,NA
2317,Carya laciniosa,NA,30.287,NA,NA,1.524,NA,NA,NA,NA,NA
2318,Carya myristiciformis,NA,19.05,NA,NA,1.2192,NA,NA,NA,NA,NA
2319,Carya ovata,18.03333333,29.501,NA,NA,1.2192,NA,NA,NA,NA,NA
2320,Carya pallida,NA,29,NA,NA,NA,NA,NA,NA,NA,NA
2321,Carya sp,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2322,Carya texana,NA,41,NA,NA,NA,NA,NA,NA,NA,NA
2323,Caryocar brasiliense,12.93055556,NA,NA,NA,NA,NA,NA,NA,NA,NA
2324,Caryocar glabrum,16.0495,NA,NA,NA,NA,NA,NA,NA,NA,NA
2325,Caryocar villosum,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2326,Caryodaphnopsis fosteri,22.72573667,42.5,NA,11.25173299,NA,NA,NA,NA,11.25173299,NA
2327,Caryodendron orinocense,22.724392,30,NA,9.894988906,NA,NA,NA,NA,9.894988906,NA
2328,Caryota mitis,24.5,0.53,NA,21.97802198,NA,NA,NA,21.97802198,21.97802198,NA
2329,Cascabela ovata,NA,NA,NA,18.2585,NA,NA,NA,18.2585,NA,NA
2330,Cascabela thevetia,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2331,Casearia aculeata,30.44518763,13.05461177,NA,14.769066,NA,NA,NA,14.88792071,NA,14.65021128
2332,Casearia arborea,25.87170247,15.36118756,4.25556,21.0576569,0.6096,NA,NA,23.94102749,15.967563,23.26438023
2333,Casearia commersoniana,22.17855286,10.54627905,NA,15.16565778,NA,NA,NA,15.33812112,NA,14.99319443
2334,Casearia decandra,30.83333333,4.698916667,NA,NA,NA,NA,NA,NA,NA,NA
2335,Casearia gossypiosperma,NA,NA,NA,22.12247093,NA,NA,NA,NA,22.12247093,NA
2336,Casearia guianensis,23.38892038,8.5925,NA,24.82840365,NA,NA,NA,25.11451634,NA,24.54229096
2337,Casearia manausensis,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2338,Casearia nitida,20.92,NA,NA,15.92356688,NA,NA,NA,NA,15.92356688,NA
2339,Casearia pitumba,24.6,13.5,NA,NA,NA,NA,NA,NA,NA,NA
2340,Casearia sp,21.69780938,NA,NA,18.26792144,NA,NA,NA,NA,18.26792144,NA
2341,Casearia sylvestris,22.68507838,12.17026274,5.8625,13.27178698,NA,NA,NA,13.77986036,12.61300586,13.42249472
2342,Cashew guntur,12.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2343,Cassia abbreviata,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2344,Cassia artemisioides,NA,2,NA,3.13,NA,NA,NA,NA,NA,3.13
2345,Cassia calothyrsus,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2346,Cassia eremophila,NA,3,NA,2.09,NA,NA,NA,NA,NA,2.09
2347,Cassia fistula,22.83333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
2348,Cassia melotriscoides,15.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2349,Cassia rubriflora,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2350,Cassia siamonsis,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2351,Cassia sieberiana,18.48333,NA,NA,NA,NA,NA,NA,NA,NA,NA
2352,Cassine peragua,NA,NA,NA,13.88888889,NA,NA,NA,NA,13.88888889,NA
2353,Cassinia laevis,14.88,2.5,NA,5.368057816,NA,NA,NA,NA,3.897863242,6.83825239
2354,Cassinia quinquefaria,NA,1.5,NA,5.204272727,NA,NA,NA,NA,5.204272727,5.204272727
2355,Cassinia uncata,NA,1.5,NA,3.932481203,NA,NA,NA,NA,3.932481203,3.932481203
2356,Cassiope mertensiana,9.896315789,NA,NA,NA,NA,NA,NA,NA,NA,NA
2357,Cassiope tetragona,12.22110714,0.086986667,10.4,5.405101552,0.2278,NA,NA,6.810203103,4,NA
2358,Cassipourea guianensis,19.7517165,23.98650673,NA,13.24453653,NA,NA,NA,9.945880836,20.2020202,9.585708541
2359,Cassipourea peruviana,26.3361,12,NA,10.42060571,NA,NA,NA,NA,10.42060571,NA
2360,Cassipourea ruwensorensis,29,NA,NA,15.29051988,NA,NA,NA,NA,NA,15.29051988
2361,Cassytha glabella,NA,1.8,NA,7.190087125,NA,NA,NA,NA,7.190087125,7.190087125
2362,Castanea crenata,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
2363,Castanea dentata,14.7,27.93,NA,17.07848837,0.508,NA,NA,NA,17.07848837,NA
2364,Castanea henryi,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
2365,Castanea ozarkensis,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
2366,Castanea pumila,NA,5.5224,NA,11.98495963,0.508,NA,NA,11.98495963,NA,NA
2367,Castanea sativa,23.60520849,31.25,NA,17.29312261,NA,NA,NA,17.29312261,NA,NA
2368,Castanea seguinii,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2369,Castanopsis carlesii,13.8175,NA,NA,12.7,NA,NA,NA,NA,12.7,NA
2370,Castanopsis delavayi,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2371,Castanopsis echinocarpa,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2372,Castanopsis eyrei,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2373,Castanopsis faberi,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2374,Castanopsis fargesii,16.81,NA,NA,9.2,NA,NA,NA,9.2,9.2,NA
2375,Castanopsis formosana,16.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
2376,Castanopsis hystrix,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2377,Castanopsis indica,NA,NA,NA,10.47120419,NA,NA,NA,NA,10.47120419,NA
2378,Castanopsis javanica,18.3,0.48,NA,15.03759398,NA,NA,NA,15.03759398,15.03759398,NA
2379,Castanopsis mollissima,22.86,14.478,NA,21,0.9144,NA,NA,21,21,NA
2380,Castanopsis sclerophylla,12.99041667,NA,NA,11.9,NA,NA,NA,11.9,11.9,NA
2381,Castanopsis tibetana,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2382,Castanopsis tungurrut,19.6,0.92,NA,16.50165017,NA,NA,NA,16.50165017,16.50165017,NA
2383,Castanospermum australe,NA,NA,NA,13.17829757,NA,NA,NA,17.80958659,8.547008547,NA
2384,Castanospora alphandi,NA,NA,NA,13.61502178,NA,NA,NA,13.61502178,NA,NA
2385,Castilla elastica,NA,NA,NA,27.17696308,NA,NA,NA,37.87601193,11.5,32.15487731
2386,Castilla ulei,20.82784,32.5,NA,9.028062585,NA,NA,NA,NA,9.028062585,NA
2387,Castilleja angustifolia,NA,0.762,NA,10.89525797,0.254,NA,NA,10.89525797,NA,NA
2388,Castilleja applegatei,NA,0.4572,NA,NA,0.254,NA,NA,NA,NA,NA
2389,Castilleja coccinea,NA,0.48768,NA,NA,0.2032,NA,NA,NA,NA,NA
2390,Castilleja fissifolia,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
2391,Castilleja hispida,NA,0.4572,NA,NA,0.1524,NA,NA,NA,NA,NA
2392,Castilleja sessiliflora,NA,0.39624,NA,NA,0.254,NA,NA,NA,NA,NA
2393,Casuarina cristata,NA,5,NA,1.481600634,NA,NA,NA,NA,1.481600634,1.481600634
2394,Casuarina cristata subsp. cristata,NA,15,NA,1.66,NA,NA,NA,NA,NA,1.66
2395,Casuarina cunninghamiana,NA,19.28666667,NA,8.387957841,0.6096,NA,NA,17.71636364,3.723754941,3.723754941
2396,Casuarina equisetifolia,16.25333333,22.86,NA,2.773925104,0.6096,NA,NA,2.773925104,NA,NA
2397,Casuarina glauca,NA,15.24,NA,NA,0.6096,NA,NA,NA,NA,NA
2398,Casuarina pauper,NA,5,NA,1.671594124,NA,NA,NA,NA,1.671594124,1.671594124
2399,Casuarina sp,18.47777778,NA,NA,NA,NA,NA,NA,NA,NA,NA
2400,Catabrosa aquatica,NA,0.320733333,NA,31.56421569,NA,NA,NA,31.56421569,NA,NA
2401,Catalpa bignonioides,NA,18.8084,NA,NA,0.9144,NA,NA,NA,NA,NA
2402,Catalpa ovata,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
2403,Catalpa speciosa,24.7,21.096,NA,NA,0.508,NA,NA,NA,NA,NA
2404,Catananche caerulea,NA,NA,NA,15.6,NA,NA,NA,15.6,NA,NA
2405,Catapodium marinum,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
2406,Catapodium rigidum,9,0.145,NA,20.93125,NA,NA,NA,18.5625,23.3,NA
2407,Cathaya argyrophylla,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
2408,Catopsis berteroniana,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2409,Catopsis floribunda,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2410,Catostemma sp,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2411,Cattleya sp,8.225,NA,19.6,NA,NA,NA,NA,NA,NA,NA
2412,Caulophyllum thalictroides,18.3,0.58165,NA,43.09786043,0.4064,NA,NA,NA,NA,43.09786043
2413,Caustis flexuosa,NA,0.25,NA,13.0858837,NA,NA,NA,NA,13.0858837,13.0858837
2414,Caustis recurvata,NA,1.3,NA,8.70915701,NA,NA,NA,NA,8.70915701,8.70915701
2415,Cavanillesia hylogeiton,NA,NA,NA,20.66374451,NA,NA,NA,NA,20.66374451,NA
2416,Cavanillesia platanifolia,25.4982598,41.11773674,NA,20.95683203,NA,NA,NA,22.77080378,NA,19.14286028
2417,Cavendishia stenophylla,NA,NA,NA,13.02083333,NA,NA,NA,NA,13.02083333,NA
2418,Cayaponia granatensis,31.38334275,NA,NA,10.3675973,NA,NA,NA,10.05618342,NA,10.67901117
2419,Ceanothus americanus,15.7,0.9144,NA,NA,0.3556,NA,NA,NA,NA,NA
2420,Ceanothus cordulatus,NA,1.8288,NA,NA,0.508,NA,NA,NA,NA,NA
2421,Ceanothus crassifolius,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2422,Ceanothus cuneatus,16.66666667,3.3528,NA,4.982579161,0.508,NA,NA,NA,5.6,4.365158322
2423,Ceanothus cuneatus var. cuneatus,14.7,3.2,NA,4.464,NA,NA,NA,4.464,NA,NA
2424,Ceanothus dentatus,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2425,Ceanothus flexilis_x,NA,0.3048,NA,NA,0.508,NA,NA,NA,NA,NA
2426,Ceanothus fresnensis,NA,0.3048,NA,NA,0.4572,NA,NA,NA,NA,NA
2427,Ceanothus greggii,13.05,2.1336,NA,2.702702703,0.3048,NA,NA,NA,2.702702703,NA
2428,Ceanothus incanus,NA,NA,NA,6.211180124,NA,NA,NA,NA,6.211180124,NA
2429,Ceanothus integerrimus,NA,3.6576,NA,NA,0.508,NA,NA,NA,NA,NA
2430,Ceanothus leucodermis,NA,NA,NA,8.333333333,NA,NA,NA,NA,8.333333333,NA
2431,Ceanothus megacarpus,16.675,3.3528,NA,NA,0.3048,NA,NA,NA,NA,NA
2432,Ceanothus oliganthus,21.3,NA,NA,8.317637711,NA,NA,NA,NA,NA,8.317637711
2433,Ceanothus oliganthus subsp. sorediatus,15.7,4.2,NA,7.8,NA,NA,NA,7.8,NA,NA
2434,Ceanothus papillosus,NA,3.3528,NA,NA,0.3048,NA,NA,NA,NA,NA
2435,Ceanothus prostratus,NA,0.0762,NA,NA,0.3556,NA,NA,NA,NA,NA
2436,Ceanothus sanguineus,NA,1.9812,NA,NA,0.3048,NA,NA,NA,NA,NA
2437,Ceanothus spinosus,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2438,Ceanothus thyrsiflorus,24.7,NA,NA,6.134969325,NA,NA,NA,NA,6.134969325,NA
2439,Ceanothus velutinus,20,3.024,NA,NA,0.4572,NA,NA,NA,NA,NA
2440,Cecropia concolor,20.3,NA,NA,18.69172518,NA,NA,NA,NA,18.69172518,NA
2441,Cecropia ficifolia,19.8,NA,NA,18.74125,NA,NA,NA,NA,24.39,13.0925
2442,Cecropia glaziouvii,30.1,7,NA,7.338870208,NA,NA,NA,7.338870208,NA,NA
2443,Cecropia glaziovi,28.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2444,Cecropia glaziovii,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
2445,Cecropia insignis,16.8808369,30.61660039,NA,7.682236578,NA,NA,NA,8.386711711,NA,6.977761444
2446,Cecropia latiloba,29.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
2447,Cecropia longipes,32.92059356,21.13478504,NA,18.59681813,NA,NA,NA,25.56985589,8.5,21.72059851
2448,Cecropia obtusa,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2449,Cecropia obtusifolia,30.39363448,22.66532216,NA,17.29879006,NA,NA,NA,20.24655503,12.72264631,18.92716883
2450,Cecropia pachystachya,22.83333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
2451,Cecropia peltata,17.883335,NA,4.4,21.23081565,NA,NA,NA,24.43735198,13.79229362,25.46280136
2452,Cecropia schreberiana,NA,17.526,NA,NA,0.508,NA,NA,NA,NA,NA
2453,Cecropia sciadophylla,NA,NA,NA,24.59,NA,NA,NA,NA,24.59,NA
2454,Cecropia sp,31.91,NA,NA,26.77378642,NA,NA,NA,26.77378642,NA,NA
2455,Cedrela fissilis,25.78333333,NA,NA,20.90884851,NA,NA,NA,NA,20.90884851,NA
2456,Cedrela odorata,32.04098664,25.01210695,NA,20.7078366,0.6096,NA,NA,23.3094169,20.26895452,18.54513838
2457,Cedrela sp,24.407225,NA,NA,28.64016297,NA,NA,NA,41.42174737,15.85857857,NA
2458,Cedrelinga sp,NA,NA,NA,24.43850112,NA,NA,NA,24.43850112,NA,NA
2459,Cedrus atlantica,NA,45,NA,NA,NA,NA,NA,NA,NA,NA
2460,Cedrus deodara,14.92,35.501,NA,NA,0.508,NA,NA,NA,NA,NA
2461,Cedrus libani,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
2462,Ceiba glaziouvii,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
2463,Ceiba pentandra,17.18648331,48.16489645,NA,14.64130623,0.6096,NA,NA,18.56125503,18.45149055,6.911173115
2464,Ceiba sp,27.54858014,NA,NA,14.07395274,NA,NA,NA,NA,14.07395274,NA
