"","site_code","Taxon","mean.before.control","mean.before.drought","mean.after.control","mean.after.drought","drought.after.minus.before","control.after.minus.before","cover.change","mean.after.drought.plus","mean.before.drought.plus","mean.after.control.plus","mean.before.control.plus","drought.after.minus.before.plus","control.after.minus.before.plus","cover.change.plus","relative.cover.change","log.fold.change.cover"
"93","kernb.ca","VICIA AMERICANA",0.5,0.5,0.5,1,0.5,0,0.5,1.0000001,0.5000001,0.5000001,0.5000001,0.5,0,0.5,0.99999980000004,1.99999980000004
"94","matador.ca","LINUM RIGIDUM",0.5,0.5,1,1,0.5,0.5,0,1.0000001,0.5000001,1.0000001,0.5000001,0.5,0.5,0,0,1
"95","matador.ca","ACHILLEA MILLEFOLIUM",0.75,0.5,0.5,1,0.5,-0.25,0.75,1.0000001,0.5000001,0.5000001,0.7500001,0.5,-0.25,0.75,1.49999970000006,2.99999950000012
"96","falls.au","GREVILLEA AUSTRALIS",1,0.5,1,1,0.5,0,0.5,1.0000001,0.5000001,1.0000001,1.0000001,0.5,0,0.5,0.99999980000004,1.99999980000004
"97","falls.au","PLANTAGO EURYPHYLLA",1,0.5,1,1,0.5,0,0.5,1.0000001,0.5000001,1.0000001,1.0000001,0.5,0,0.5,0.99999980000004,1.99999980000004
"98","falls.au","PHEBALIUM SQUAMULOSUM",1.333333333,0.5,1.333333333,1,0.5,0,0.5,1.0000001,0.5000001,1.333333433,1.333333433,0.5,0,0.5,0.99999980000004,1.99999980000004
"99","kernb.ca","STIPA CURTISETA",6.5,0.5,2.333333333,1,0.5,-4.166666667,4.666666667,1.0000001,0.5000001,2.333333433,6.5000001,0.5,-4.166666667,4.666666667,9.33333146733371,5.57142786202054
"100","credom.au","CUSCUTA PLANIFLORA",0,0.5,0.5,1,0.5,0.5,0,1.0000001,0.5000001,0.5000001,1e-07,0.5,0.5,1.66533453693773e-16,3.33066840774179e-16,3.99999880000032e-07
"101","jilpanger.au","PELARGONIUM RODNEYANUM",0,0.5,0.5,1,0.5,0.5,0,1.0000001,0.5000001,0.5000001,1e-07,0.5,0.5,1.66533453693773e-16,3.33066840774179e-16,3.99999880000032e-07
"102","gmgranite.us","AMSINCKIA TESSELLATA",0,0.5,0.75,1,0.5,0.75,-0.25,1.0000001,0.5000001,0.7500001,1e-07,0.5,0.75,-0.25,-0.49999990000002,2.66666604444458e-07
"103","kernb.ca","CERASTIUM ARVENSE",2,0.5,2.5,1.25,0.75,0.5,0.25,1.2500001,0.5000001,2.5000001,2.0000001,0.75,0.5,0.25,0.49999990000002,1.99999978000004
"104","gmgranite.us","PECTOCARYA RECURVATA",0.5,0.5,0,1.5,1,-0.5,1.5,1.5000001,0.5000001,1e-07,0.5000001,1,-0.5,1.5,2.99999940000012,15000001
"105","credom.au","MEDICAGO MINIMA",0.5,0.5,5.75,2,1.5,5.25,-3.75,2.0000001,0.5000001,5.7500001,0.5000001,1.5,5.25,-3.75,-7.4999985000003,0.347826098298677
