,site_code,Taxon,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,rootDiam.mm,SRL.groot.cahill.merge,RTD.groot.cahill.merge,RMF.g.g,local_lifespan,local_lifeform,functional_group,
158,scruzm.us,BROMUS DIANDRUS,4.791909,28.72502857,0.677571429,NA,39,NA,NA,179.5244125,0.064833597,0.566488452,ANNUAL,GRASS,GRASS,
159,scruzl.us,BROMUS DIANDRUS,-29.7966494,28.72502857,0.677571429,NA,39,NA,NA,179.5244125,0.064833597,0.566488452,ANNUAL,GRASS,GRASS,
160,allmendo.ch,BROMUS ERECTUS,-6.41666666,18.81892435,0.717333333,7.243150315,20.26018543,0.894,0.273789089,157.1212818,0.160875,0.478609045,PERENNIAL,GRASS,GRASS,
161,allmendb.ch,BROMUS ERECTUS,-3.41666667,18.81892435,0.717333333,7.243150315,20.26018543,0.894,0.273789089,157.1212818,0.160875,0.478609045,PERENNIAL,GRASS,GRASS,
162,baddrt.de,BROMUS HORDEACEUS,-1.09,25.57289667,0.6899,10.2,27.4569232,0.254,0.2,471.2364007,0.137083333,0.391482632,ANNUAL,GRASS,GRASS,
163,scruzh.us,BROMUS HORDEACEUS,-1.27374145,25.57289667,0.6899,10.2,27.4569232,0.254,0.2,471.2364007,0.137083333,0.391482632,ANNUAL,GRASS,GRASS,
164,scruzl.us,BROMUS HORDEACEUS,-1.0204082,25.57289667,0.6899,10.2,27.4569232,0.254,0.2,471.2364007,0.137083333,0.391482632,ANNUAL,GRASS,GRASS,
165,brookdale.ca,BROMUS INERMIS,-1.033333333,23.12,0.15,6.56875,46.32,0.3048,0.6827,28.58549426,0.324438565,0.559941695,PERENNIAL,GRASS,GRASS,
166,cdpt_drt.us,BROMUS JAPONICUS,6.5,20.9,0.2825,NA,39.52,1.5,0.5409,NA,NA,NA,ANNUAL,GRASS,GRASS,
167,oreaa.us,BROMUS JAPONICUS,-1.625,20.9,0.2825,NA,39.52,1.5,0.5409,NA,NA,NA,ANNUAL,GRASS,GRASS,
168,oreac.us,BROMUS JAPONICUS,-32.7,20.9,0.2825,NA,39.52,1.5,0.5409,NA,NA,NA,ANNUAL,GRASS,GRASS,
169,nnss.us,BROMUS RUBENS,-2.661304941,28.76869872,0.39624,NA,18.71337185,0.2032,NA,NA,NA,NA,ANNUAL,GRASS,GRASS,
170,gmmolar.us,BROMUS RUBENS,0.15952381,28.76869872,0.39624,NA,18.71337185,0.2032,NA,NA,NA,NA,ANNUAL,GRASS,GRASS,
171,gmgranite.us,BROMUS RUBENS,0.5,28.76869872,0.39624,NA,18.71337185,0.2032,NA,NA,NA,NA,ANNUAL,GRASS,GRASS,
172,capmcd.us,BROMUS RUBENS,0,28.76869872,0.39624,NA,18.71337185,0.2032,NA,NA,NA,NA,ANNUAL,GRASS,GRASS,
173,cowidrt.ca,BROMUS STERILIS,0.833333333,27.9,0.658333333,NA,33.24166981,1.5,NA,NA,NA,0.485139699,ANNUAL,GRASS,GRASS,
174,baddrt.de,BROMUS STERILIS,2.8975,27.9,0.658333333,NA,33.24166981,1.5,NA,NA,NA,0.485139699,ANNUAL,GRASS,GRASS,
175,nnss.us,BROMUS TECTORUM,-3.683842713,24.529,0.2175,7.4375,44.63,0.90288,0.5728,57.42164697,0.471744504,0.425,ANNUAL,GRASS,GRASS,
176,nplatte.us,BROMUS TECTORUM,-19.32380952,24.529,0.2175,7.4375,44.63,0.90288,0.5728,57.42164697,0.471744504,0.425,ANNUAL,GRASS,GRASS,
177,hard.us,BROMUS TECTORUM,3,24.529,0.2175,7.4375,44.63,0.90288,0.5728,57.42164697,0.471744504,0.425,ANNUAL,GRASS,GRASS,
178,cobar.au,BULBINE BULBOSA,0,21.32810417,0.4,NA,33.38,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,leafN CoRRE
179,teshio.jp,CALAMAGROSTIS EPIGEIOS,4.96666667,17.90617136,1.392886364,6.6,16.40941485,0.55,NA,57.46375,NA,0.215,PERENNIAL,GRASS,GRASS,
180,cedarsav.us,CALAMOVILFA LONGIFOLIA,0,13.59,1.3716,5.2246,10.96892152,0.508,0.48,33,0.18,NA,PERENNIAL,GRASS,GRASS,
181,ethadn.au,CALANDRINIA BALONENSIS,-5.3,NA,0.275,NA,7.11,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
182,capmcd.us,CALANDRINIA CILIATA,0,21.1,0.0254,NA,26.31594056,NA,0.3,212.5,0.0417,0.192159626,ANNUAL,FORB,FORB,
183,lygraint.no,CALLUNA VULGARIS,7.66666667,13.57486595,0.555785714,4.11401,12.0660315,0.3,0.2553,13.62532988,1.194550386,0.203242972,PERENNIAL,SUBSHRUB,WOODY,
184,lygraold.no,CALLUNA VULGARIS,16.66666666,13.57486595,0.555785714,4.11401,12.0660315,0.3,0.2553,13.62532988,1.194550386,0.203242972,PERENNIAL,SUBSHRUB,WOODY,
185,hyide.de,CALLUNA VULGARIS,-9.33333333,13.57486595,0.555785714,4.11401,12.0660315,0.3,0.2553,13.62532988,1.194550386,0.203242972,PERENNIAL,SHRUB,WOODY,
186,hoide.de,CALLUNA VULGARIS,7.83333333,13.57486595,0.555785714,4.11401,12.0660315,0.3,0.2553,13.62532988,1.194550386,0.203242972,PERENNIAL,SHRUB,WOODY,
187,credoj.au,CALOTIS HISPIDULA,0,21.75615248,0.103333333,NA,11.50591422,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,leafN CoRRE
188,quilpie.au,CALOTIS HISPIDULA,0.5,21.75615248,0.103333333,NA,11.50591422,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,leafN CoRRE
189,cobar.au,CALOTIS LAPPULACEA,0.666666667,20.46641122,0.5,NA,15.76,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,leafN CoRRE
190,milparinka.au,CALOTIS PORPHYROGLOSSA,1,NA,0.33325,NA,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
191,jilpanger.au,CALYTRIX TETRAGONA,3.25,9.5,1.96,NA,3.350222391,NA,NA,NA,NA,0.332159997,PERENNIAL,SHRUB,WOODY,
192,cowidrt.ca,CAMASSIA QUAMASH,4,13.2,0.70104,NA,12.08,0.254,4.83,NA,NA,NA,PERENNIAL,GRASS,FORB,
193,gmmolar.us,CAMISSONIA PALMERI,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
194,kernnu.ca,CAMPANULA ROTUNDIFOLIA,0,21.08333333,0.452,10.4,18.59949234,1.105,0.141566667,9.643369802,0.169907407,0.776835528,PERENNIAL,FORB,FORB,
195,spvdrt.ar,CARDIONEMA RAMOSISSIMUM,0.666666667,NA,NA,NA,9.801,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
196,marcdrt.ar,CARDUUS ACANTHOIDES,1,17.22267499,1.075,NA,18.83333333,1.79,NA,NA,NA,NA,ANNUAL,FORB,FORB,
197,baddrt.de,CARDUUS CRISPUS,-0.5,21.60687357,1.4625,NA,23.6,NA,NA,NA,NA,NA,BIENNIAL,FORB,FORB,leafN CoRRE
198,kernb.ca,CARDUUS NUTANS,0.75,33,1.15,NA,12.355,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
199,scruzl.us,CARDUUS PYCNOCEPHALUS,11.58399878,8.2,0.622333333,NA,38,NA,NA,NA,0.023256534,0.34,ANNUAL,FORB,FORB,
200,scruzm.us,CARDUUS PYCNOCEPHALUS,-0.75648387,8.2,0.622333333,NA,38,NA,NA,NA,0.023256534,0.34,ANNUAL,FORB,FORB,
201,scruzh.us,CARDUUS PYCNOCEPHALUS,30.5358948,8.2,0.622333333,NA,38,NA,NA,NA,0.023256534,0.34,ANNUAL,FORB,FORB,
202,paike.ar,CAREX ANDINA,-0.666666667,16.8,0.04,NA,17.03820081,NA,NA,NA,NA,NA,PERENNIAL,GRAMINOID,GRAMINOID,SLA from CoRRE
203,hyide.de,CAREX ARENARIA,-1,19.12604168,0.384259259,NA,13.42542463,1.611656129,NA,NA,NA,0.226666667,PERENNIAL,GRAMINOID,GRAMINOID,
204,hoide.de,CAREX ARENARIA,2.22E-16,19.12604168,0.384259259,NA,13.42542463,1.611656129,NA,NA,NA,0.226666667,PERENNIAL,GRAMINOID,GRAMINOID,
205,falls.au,CAREX BREVICULMIS,-0.166666667,18.30157885,0.05,NA,14.60009466,NA,NA,NA,NA,NA,PERENNIAL,GRASS,GRAMINOID,
206,konzadrt.us,CAREX BREVIOR,-1.9,45.32,0.254,NA,21.15675902,NA,NA,NA,NA,NA,PERENNIAL,GRAMINOID,GRAMINOID,
207,allmendo.ch,CAREX CARYOPHYLLEA,0.16666667,18,0.223333333,NA,19.74658333,0.2,0.0784,NA,NA,0.417249417,PERENNIAL,GRAMINOID,GRAMINOID,
208,allmendb.ch,CAREX CARYOPHYLLEA,-0.08333333,18,0.223333333,NA,19.74658333,0.2,0.0784,NA,NA,0.417249417,PERENNIAL,GRAMINOID,GRAMINOID,
209,passogavia.it,CAREX CURVULA,1.6,11.89013,0.16,NA,9.999104145,0.65,NA,NA,NA,NA,PERENNIAL,GRAMINOID,GRAMINOID,
210,lygraint.no,CAREX ECHINATA,1,17.748,0.33305,NA,15.86833333,0.2032,NA,NA,NA,NA,PERENNIAL,GRAMINOID,GRAMINOID,
211,lygraold.no,CAREX ECHINATA,-1.5,17.748,0.33305,NA,15.86833333,0.2032,NA,NA,NA,NA,PERENNIAL,GRAMINOID,GRAMINOID,
212,cdpt_drt.us,CAREX FILIFOLIA,0.33333334,16.11,0.33528,NA,10.8070203,0.254,0.181971429,107.557439,0.510912698,NA,PERENNIAL,GRASS,GRAMINOID,
213,nplatte.us,CAREX FILIFOLIA,-1.625,16.11,0.33528,NA,10.8070203,0.254,0.181971429,107.557439,0.510912698,NA,PERENNIAL,GRAMINOID,GRAMINOID,
214,allmendo.ch,CAREX FLACCA,-3.25,17.07498081,0.37125,4.956666667,14.32237516,0.83,0.380313725,218.7926062,0.155758253,0.585603591,PERENNIAL,GRAMINOID,GRAMINOID,
215,allmendb.ch,CAREX FLACCA,0.125,17.07498081,0.37125,4.956666667,14.32237516,0.83,0.380313725,218.7926062,0.155758253,0.585603591,PERENNIAL,GRAMINOID,GRAMINOID,
216,falls.au,CAREX HEBES,-0.266666667,11.51554545,0.095,NA,19.09615385,NA,NA,NA,NA,NA,PERENNIAL,GRASS,GRAMINOID,
217,cowidrt.ca,CAREX INOPS,0.25,21.46947416,0.230316756,NA,22.6,NA,NA,NA,NA,NA,PERENNIAL,GRASS,GRAMINOID,"leafN, height from CoRRE"
218,konzadrt.us,CAREX INOPS,-1.345,21.46947416,0.230316756,NA,22.6,NA,NA,NA,NA,NA,PERENNIAL,GRAMINOID,GRAMINOID,"leafN, height from CoRRE"
219,konzadrt.us,CAREX MEADII,-0.666666667,19.185,0.2292,NA,12.74334258,NA,NA,NA,NA,NA,PERENNIAL,GRAMINOID,GRAMINOID,
220,teshio.jp,CAREX MIYABEI,-24.5,15.41765417,0.597916667,NA,18.07730668,NA,NA,NA,NA,NA,PERENNIAL,GRAMINOID,GRAMINOID,
221,lygraint.no,CAREX NIGRA,-2,24.40009307,0.388666667,6.648625922,20.2452221,0.56,0.2421,9.14,NA,0.3725,PERENNIAL,GRAMINOID,GRAMINOID,
222,lygraold.no,CAREX NIGRA,2.999999999,24.40009307,0.388666667,6.648625922,20.2452221,0.56,0.2421,9.14,NA,0.3725,PERENNIAL,GRAMINOID,GRAMINOID,
223,marcdrt.ar,CAREX PHALAROIDES,3,20.35546309,0.21,NA,17.90821419,NA,NA,NA,NA,NA,PERENNIAL,GRAMINOID,GRAMINOID,"leaN, SLA from CoRRE"
224,lygraint.no,CAREX PILULIFERA,0.666666667,27.98325592,0.225625,NA,18.64867865,NA,NA,NA,NA,NA,PERENNIAL,GRAMINOID,GRAMINOID,
225,marcdrt.ar,CAREX SORORIA,-0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,GRAMINOID,GRAMINOID,
226,allmendb.ch,CARLINA VULGARIS,-0.5,15.78260486,0.385,NA,22.08870347,0.87,0.246275926,322.3538749,0.082888022,0.863013699,PERENNIAL,FORB,FORB,
227,sand.us,CARPHEPHORUS BELLIDIFOLIUS,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
228,falls.au,CELMISIA COSTINIANA,-1.66666667,6.1918,0.515,NA,9.655536667,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
229,kiskun.hu,CENTAUREA ARENARIA,0.275,NA,0.75,NA,14.153,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
230,allmendo.ch,CENTAUREA JACEA,1.666666667,25.06160617,0.8275,11.34202,23.24878232,0.155,0.328737037,116.6184597,0.133545753,0.480420665,PERENNIAL,FORB,FORB,
231,allmendb.ch,CENTAUREA JACEA,-0.416666666,25.06160617,0.8275,11.34202,23.24878232,0.155,0.328737037,116.6184597,0.133545753,0.480420665,PERENNIAL,FORB,FORB,
232,rhijn.nl,CENTAUREA JACEA,-24.5,25.06160617,0.8275,11.34202,23.24878232,0.155,0.328737037,116.6184597,0.133545753,0.480420665,PERENNIAL,FORB,FORB,
233,credom.au,CENTAUREA MELITENSIS,-0.5,19.1,1,NA,9.4,NA,NA,145.3592041,NA,NA,ANNUAL,FORB,FORB,
234,allmendo.ch,CENTAUREA SCABIOSA,-0.958333333,22.3,0.9625,NA,17.62416667,3.114125,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
235,allmendb.ch,CENTAUREA SCABIOSA,1.5,22.3,0.9625,NA,17.62416667,3.114125,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
236,marcdrt.ar,CENTAURIUM PULCHELLUM,-2.5,23.561704,0.106666667,NA,44.47,0.13,NA,NA,NA,NA,ANNUAL,FORB,FORB,leafN CoRRE
237,quilpie.au,CENTIPEDA CUNNINGHAMII,-5.166666667,NA,0.2,NA,18.1,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
238,jilpanger.au,Centrolepis ARISTATA,-0.4,19.7,0.065552756,NA,28.09236189,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
239,jilpanger.au,Centrolepis STRIGOSA,0,17.67270809,0.073333333,NA,5.632,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,leafN CoRRE
240,gmmolar.us,CENTROSTEGIA THURBERI,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
241,ukulingadrt.za,CEPHALARIA PUNGENS,-9.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
242,credom.au,CEPHALIPTERUM DRUMMONDII,-19.5,NA,0.232098289,NA,37.28250084,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
243,credoj.au,CEPHALIPTERUM DRUMMONDII,0.5,NA,0.232098289,NA,37.28250084,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
244,matador.ca,CERASTIUM ARVENSE,-1,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,PERENNIAL,FORB,FORB,
245,kernnu.ca,CERASTIUM ARVENSE,-0.25,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,PERENNIAL,FORB,FORB,
246,kernb.ca,CERASTIUM ARVENSE,0.25,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,PERENNIAL,FORB,FORB,
247,elvadrt.ee,CERASTIUM ARVENSE,0,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,PERENNIAL,FORB,FORB,
248,paike.ar,CERASTIUM ARVENSE,0,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,PERENNIAL,FORB,FORB,
249,cowidrt.ca,CERASTIUM ARVENSE,-0.5,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,PERENNIAL,FORB,FORB,
250,brookdale.ca,CERASTIUM ARVENSE,-5,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,PERENNIAL,FORB,FORB,
251,cmss.us,CERASTIUM ARVENSE,3,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,PERENNIAL,FORB,FORB,
252,rhijn.nl,CERASTIUM FONTANUM,-1,24.9755,0.218333333,8.721238939,28.16975131,NA,0.282,102.62,0.133299797,0.163756176,PERENNIAL,FORB,FORB,
253,cowidrt.ca,CERASTIUM GLOMERATUM,2,23.09807,0.249,14.7,23.38503171,0.11,NA,318,0.029222234,0.250771497,ANNUAL,FORB,FORB,
254,octc.us,CERATOCEPHALA TESTICULATA,-1.869447707,NA,0.1,NA,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
255,nnss.us,CHAENACTIS FREMONTII,-3.290888939,11,NA,3.35,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
256,capmcd.us,CHAENACTIS STEVIOIDES,-0.5,24.53903105,0.166818387,NA,21.19133221,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,"leafN, height, SLA from CoRRE"
257,gmmolar.us,CHAENACTIS STEVIOIDES,0.125,24.53903105,0.166818387,NA,21.19133221,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,"leafN, height, SLA from CoRRE"
258,falls.au,CHAEROPHYLLUM ERIOPODUM,-0.333333333,8.458818182,0.0872,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
259,ukulingadrt.za,CHAETACANTHUS BURCHELLII,3.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,SHRUB,FORB,
260,sand.us,CHAMAECRISTA FASCICULATA,-1.5,22.89,0.73152,NA,23.78716578,0.3556,0.2980125,96.91819095,0.1612955,0.211841914,ANNUAL,LEGUME,LEGUME,
261,sand.us,CHAMAECRISTA NICTITANS,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANNUAL,LEGUME,LEGUME,
262,jilpanger.au,CHAMAESCILLA CORYMBOSA,-1,23,0.27,NA,63.13,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
263,cdpt_drt.us,CHENOPODIUM ALBUM,0,27.125,0.3325,8.8,15.34103501,1.125,0.230308403,52.97317748,0.330451196,0.205678834,ANNUAL,FORB,FORB,
264,jrnchi.us,CHONDROSUM ERIOPODUM,-4.635276483,NA,0.6096,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,GRASS,GRASS,
265,sevmixed.us,CHONDROSUM ERIOPODUM,-10.55714286,NA,0.6096,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,GRASS,GRASS,
266,sevblue.us,CHONDROSUM ERIOPODUM,-13.86666667,NA,0.6096,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,GRASS,GRASS,
267,sevblack.us,CHONDROSUM ERIOPODUM,-13.39999999,NA,0.6096,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,GRASS,GRASS,
268,jorndrt.us,CHONDROSUM ERIOPODUM,5.33333332,NA,0.6096,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,GRASS,GRASS,
269,sevmixed.us,CHONDROSUM GRACILE,-2.291666667,14.5595868,0.202828111,NA,15.34680195,NA,NA,NA,NA,NA,PERENNIAL,GRASS,GRASS,
270,sevblue.us,CHONDROSUM GRACILE,-0.822857131,14.5595868,0.202828111,NA,15.34680195,NA,NA,NA,NA,NA,PERENNIAL,GRASS,GRASS,
271,nnss.us,CHORIZANTHE BREVICORNU,-0.24454676,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
272,capwhite.us,CHORIZANTHE BREVICORNU,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
273,nnss.us,CHORIZANTHE RIGIDA,0.087130633,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
274,jilpanger.au,CHRYSOCEPHALUM APICULATUM,9,27.1,0.46919,NA,16.46764897,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
275,milparinka.au,CHRYSOCEPHALUM APICULATUM,3,27.1,0.46919,NA,16.46764897,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
276,sand.us,CHRYSOPSIS MARIANA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
277,hard.us,CHRYSOTHAMNUS VISCIDIFLORUS,1.66666667,29.7,0.9144,NA,21.79776616,0.3556,NA,NA,NA,NA,PERENNIAL,SHRUB,WOODY,SLA from CoRRE
278,nnss.us,CHYLISMIA CLAVIFORMIS,0.0437756,35.4,NA,NA,13,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
279,kernnu.ca,CIRSIUM ARVENSE,-3.083333334,29.75611991,0.15,8.15,21.12,1.4125,0.70945,119.9058435,0.244438578,0.294068165,PERENNIAL,FORB,FORB,
280,kernb.ca,CIRSIUM ARVENSE,-3.25,29.75611991,0.15,8.15,21.12,1.4125,0.70945,119.9058435,0.244438578,0.294068165,PERENNIAL,FORB,FORB,
281,baddrt.de,CIRSIUM ARVENSE,-2.077777778,29.75611991,0.15,8.15,21.12,1.4125,0.70945,119.9058435,0.244438578,0.294068165,PERENNIAL,FORB,FORB,
282,brookdale.ca,CIRSIUM ARVENSE,0.400000003,29.75611991,0.15,8.15,21.12,1.4125,0.70945,119.9058435,0.244438578,0.294068165,PERENNIAL,FORB,FORB,
283,esw.ca,CIRSIUM ARVENSE,0.5,29.75611991,0.15,8.15,21.12,1.4125,0.70945,119.9058435,0.244438578,0.294068165,PERENNIAL,FORB,FORB,
284,scruzl.us,CIRSIUM VULGARE,16.6156689,25,0.093333333,NA,16.6,2.1,0.7469,68.1803406,0.269166667,0.728135419,PERENNIAL,FORB,FORB,
285,cowidrt.ca,CLAYTONIA PERFOLIATA,10.16666667,38.9,0.222866667,NA,49.05439294,0.1524,NA,NA,NA,NA,BOTH,FORB,FORB,
286,paike.ar,CLINOPODIUM DARWINII,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
287,oreaa.us,COLLINSIA PARVIFLORA,-0.5,19.6,0.3048,NA,32.3,0.1524,0.28,NA,NA,NA,ANNUAL,FORB,FORB,
288,oreac.us,COLLINSIA PARVIFLORA,0.4,19.6,0.3048,NA,32.3,0.1524,0.28,NA,NA,NA,ANNUAL,FORB,FORB,
289,oreac.us,COLLOMIA GRANDIFLORA,-1.583333333,22.26237667,0.4,NA,19.76124602,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,"leafN, height from CoRRE"
290,oreac.us,COLLOMIA LINEARIS,0,21.66955229,0.2075,NA,19.77,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,leafN CoRRE
291,paike.ar,COLOBANTHUS LYCOPODOIDES,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,SUBSHRUB,WOODY,
292,cedarsav.us,COMANDRA UMBELLATA,-3.4,21.0594,0.2372,9.466666667,9.721037223,NA,0.321385714,7.264572444,0.334821433,NA,PERENNIAL,FORB,FORB,
293,matador.ca,COMANDRA UMBELLATA,-2.75,21.0594,0.2372,9.466666667,9.721037223,NA,0.321385714,7.264572444,0.334821433,NA,PERENNIAL,FORB,FORB,
294,ukulingadrt.za,COMMELINA AFRICANA,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
295,yarradrt.au,COMMELINA CYANEA,2.17,30.634,0.1,NA,34.85,NA,0.528,NA,NA,NA,PERENNIAL,FORB,FORB,
296,kiskun.hu,CONYZA CANADENSIS,-0.285,27.9,0.836805556,NA,20.31163266,0.1524,NA,0.09,NA,NA,ANNUAL,FORB,FORB,
297,cerrillos.ar,CORDOBIA ARGENTEA,6.25166667,27.9,1.17,NA,5.52599535,NA,NA,NA,NA,NA,PERENNIAL,VINE,WOODY,
298,cedarsav.us,COREOPSIS PALMATA,-15.83333333,12.06502778,0.614,18.5591,21.43406868,NA,0.33,82.33333333,0.1,0.41125,PERENNIAL,FORB,FORB,
299,cedartrait.us,COREOPSIS PALMATA,-3.75,12.06502778,0.614,18.5591,21.43406868,NA,0.33,82.33333333,0.1,0.41125,PERENNIAL,FORB,FORB,
300,cdpt_drt.us,COREOPSIS TINCTORIA,-1,14.706,0.55245,12.72946239,14.36677923,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
301,cerrillos.ar,COTTEA PAPPOPHOROIDES,-6.876666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANNUAL,GRASS,GRASS,
302,ukulingadrt.za,CRABBEA HIRSUTA,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
303,ukulingadrt.za,CRABBEA SQUARROSA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,FORB,FORB,
304,brokenh.au,CRASSULA COLORATA,0,12.92120582,0.1,NA,42.24399652,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,leafN CoRRE
305,cobar.au,CRASSULA COLORATA,0.666666667,12.92120582,0.1,NA,42.24399652,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,leafN CoRRE
306,allmendb.ch,CREPIS BIENNIS,-1.5,18.28,0.2,10.22761651,19.04,0.99,0.425214286,154.7062535,0.113427835,0.637934928,PERENNIAL,FORB,FORB,
307,baddrt.de,CREPIS BIENNIS,-9.657142857,18.28,0.2,10.22761651,19.04,0.99,0.425214286,154.7062535,0.113427835,0.637934928,BIENNIAL,FORB,FORB,
308,baddrt.de,CREPIS CAPILLARIS,5.538888889,27.04610667,0.458333333,10.7,33.48841078,0.385,NA,NA,NA,0.316068001,ANNUAL,FORB,FORB,
309,kiskun.hu,CREPIS FOETIDA,-0.308,17.2,0.27525,14.175,20.14985816,NA,0.280689138,296.13,0.072,NA,PERENNIAL,FORB,FORB,
310,ukulingadrt.za,CROTALARIA MICROCARPA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,PERENNIAL,LEGUME,LEGUME,
311,jrnchi.us,CROTON POTTSII,1.466715789,23.138061,0.439076921,NA,19.98146192,1.593333333,NA,NA,NA,NA,PERENNIAL,FORB,FORB,"leafN, height, SLA from CoRRE"
312,nnss.us,CRYPTANTHA CIRCUMSCISSA,-1.01109512,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
313,gmgranite.us,CRYPTANTHA CIRCUMSCISSA,-0.208333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
314,gmmolar.us,CRYPTANTHA CIRCUMSCISSA,0.14047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
315,nnss.us,CRYPTANTHA INTERMEDIA,-0.80954593,24.86667839,0.026,NA,23.56545799,NA,NA,NA,0.14095,0.12111937,ANNUAL,FORB,FORB,leafN CoRRE
316,nnss.us,CRYPTANTHA PTEROCARYA,0.42055291,NA,NA,0.9,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
317,gmmolar.us,CRYPTANTHA PTEROCARYA,0.376190476,NA,NA,0.9,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
318,gmgranite.us,CRYPTANTHA PTEROCARYA,0,NA,NA,0.9,NA,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,
319,credom.au,CUSCUTA PLANIFLORA,0,29.41966813,0.4,NA,25.74370446,NA,NA,NA,NA,NA,ANNUAL,FORB,FORB,"leafN, SLA from CoRRE"
