"","site_code","Taxon","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","rootDiam.mm","SRL.groot.cahill.merge","RTD.groot.cahill.merge","RMF.g.g","local_lifespan","local_lifeform","functional_group"
"861","kiskun.hu","STIPA PENNATA",-1.4,13.2,0.475,10.1,16.05136437,0.806,0.4617094,45.88074833,0.198761949,NA,"PERENNIAL","GRASS","GRASS"
"862","scruzh.us","STIPA PULCHRA",-25.66786803,16.6,1.193,NA,11.24203438,NA,0.356625,18.92276649,0.082069493,0.53,"PERENNIAL","FORB","GRASS"
"863","cobar.au","STIPA SCABRA",11.5,NA,0.8,NA,13.27,NA,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"864","cedarsav.us","STIPA SPARTEA",-14.83333333,14.01546154,0.576,18,8.74965934,0.254,0.2496,61.25734351,0.403650758,NA,"PERENNIAL","GRASS","GRASS"
"865","paike.ar","STIPA SPECIOSA",-0.33333334,12.13,0.169,7.94,15.44,0.352,0.352,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"866","jilpanger.au","STIPA VAGINATA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"867","gmmolar.us","STYLOCLINE PSILOCARPHOIDES",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANNUAL","FORB","FORB"
"868","kernb.ca","SYMPHYOTRICHUM ERICOIDES",-1.5,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,NA,"PERENNIAL","FORB","FORB"
"869","matador.ca","SYMPHYOTRICHUM ERICOIDES",0,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,NA,"PERENNIAL","FORB","FORB"
"870","mattheis.ca","SYMPHYOTRICHUM ERICOIDES",-15.5,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,NA,"PERENNIAL","FORB","FORB"
"871","konzadrt.us","SYMPHYOTRICHUM ERICOIDES",11.8,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,NA,"PERENNIAL","FORB","FORB"
"872","brookdale.ca","SYMPHYOTRICHUM ERICOIDES",-2.75,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,NA,"PERENNIAL","FORB","FORB"
"873","hard.us","SYMPHYOTRICHUM ERICOIDES",7.333333333,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,NA,"PERENNIAL","FORB","FORB"
"874","esw.ca","SYMPHYOTRICHUM LANCEOLATUM",2.5,11.82,1.8288,NA,14.79014473,0.2032,NA,NA,0.15,NA,"PERENNIAL","FORB","FORB"
"875","esw.ca","SYMPHYOTRICHUM NOVAE-ANGLIAE",6.5,24.33975,1.022302632,NA,22.95791262,NA,0.46,52,0.12,0.23,"PERENNIAL","FORB","FORB"
"876","purdue.us","SYMPHYOTRICHUM NOVAE-ANGLIAE",4.05952382,24.33975,1.022302632,NA,22.95791262,NA,0.46,52,0.12,0.23,"PERENNIAL","FORB","FORB"
"877","cedarsav.us","SYMPHYOTRICHUM OOLENTANGIENSE",-3.066666667,16.02907407,0.493,19.81443763,14.68950044,NA,0.35,81.16666667,0.12,0.4255,"PERENNIAL","FORB","FORB"
"878","purdue.us","SYMPHYOTRICHUM PILOSUM",2.25,23.9,0.861666667,NA,18.27837298,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"879","sand.us","SYMPHYOTRICHUM WALTERI",-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"880","kiskun.hu","SYRENIA CANA",-0.03,NA,NA,NA,11.169,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"881","cedartrait.us","TARAXACUM CAMPYLODES",4.916666667,28.3472693,0.044,10.73618,30.37717515,0.1524,0.292,213.1,0.253916667,0.339040609,"PERENNIAL","FORB","FORB"
"882","kernb.ca","TARAXACUM TARAXACUM",-0.666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"883","rhijn.nl","TARAXACUM TARAXACUM",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"884","esw.ca","TARAXACUM TARAXACUM",3.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"885","teshio.jp","TARAXACUM TARAXACUM",-4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"886","kernnu.ca","TARAXACUM TARAXACUM",0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"887","baddrt.de","TARAXACUM TARAXACUM",3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"888","mattheis.ca","TARAXACUM TARAXACUM",-6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"889","brookdale.ca","THALICTRUM VENULOSUM",-0.916666667,29.5,0.178666667,17.73333333,18.1239633,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"890","ukulingadrt.za","THEMEDA TRIANDRA",5.33333334,13.22821429,1.5,4.35,9.2635,NA,0.2625,NA,0.6525,NA,"PERENNIAL","GRASS","GRASS"
"891","hard.us","THLASPI ARVENSE",1.333333333,35.43920077,0.423333333,NA,24.42761317,0.49,NA,NA,NA,NA,"ANNUAL","FORB","FORB"
"892","charleville.au","THYRIDOLEPIS MITCHELLIANA",0,NA,0.3,NA,13.98,NA,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
